Country,,Helmsman,Crew,Club,Race 1,Points,Position
SUI,,Fehlmann,Fehlmann,CN Morges,,3,1
FRA,4325,Bernard Moret,René Morch,CV Lyon,,"8,7",2
SUI,,Degaudenzy,Perret,YLSN Genève,,"17,4",3
FRA,,Duchemin,Christian Marechal,CN Cherbourg,,"18,7",4
FRA,,Marcel Buffet,Thierry Moreau-Defarges,CV Paris,,23,5
FRA,,Léopold Leger,Robert Leibovitch,CN Bourgogne,,"31,4",6
FRA,,Balmas,Balmas,CN Morges,,"34,7",7
FRA,,Le Glohaec,Baron,CV Paris,,"37,7",8
FRA,,Serge Guillaume,Richard,SN Marseille,,39,9
FRA,,Blanchard,Blanchard,ACAL,,46,10
FRA,,,,,,,11
,,,,,,,12
,,,,,,,13
,,,,,,,14
,,,,,,,15
,,,,,,,16
,,,,,,,17
,,,,,,,18
,,,,,,,19
,,,,,,,20
,,,,,,,21
,,,,,,,22
,,,,,,,23
,,,,,,,24
,,,,,,,25
,,,,,,,26
,,,,,,,27
,,,,,,,28
,,,,,,,29
,,,,,,,30
