Country,Sail Number,Skipper Surname,Crew Surname,Club,,Points,Position
FRA,4224,P. Gadel,G. Gadel,CN Viry,,185,1
FRA,3540,Leger,Leger,CN Bourgogne,,166,2
FRA,4010,Claude Fixot,Thierry Moreau-Defarges,CV Meaux,,163,3
FRA,3650,Bernard Paternault,Denis Guiomard,CYV Dammarie,,158,4
FRA,3644,Souvestre,Souvestre,CV Meaux,,144,5
FRA,3423,Roland Banel,Latrace,CV Paris,,140,6
FRA,4308,Guyot,Jacoutet,CV ESQ,,139,7
FRA,4036,Taillandier,Blondet,YC Le Pecq,,137,8
FRA,4399,Duhau,Gardahaut,CNCRO,,131,9
FRA,2845,Herfort,Mandoff,CV ESQ,,123,10
,,,,,,,11
,,,,,,,12
,,,,,,,13
,,,,,,,14
,,,,,,,15
,,,,,,,16
,,,,,,,17
,,,,,,,18
,,,,,,,19
,,,,,,,20
,,,,,,,21
,,,,,,,22
,,,,,,,23
,,,,,,,24
,,,,,,,25
,,,,,,,26
,,,,,,,27
,,,,,,,28
,,,,,,,29
,,,,,,,30
,,,,,,,31
,,,,,,,32
,,,,,,,33
,,,,,,,34
,,,,,,,35
,,,,,,,36
,,,,,,,37
,,,,,,,38
,,,,,,,39
,,,,,,,40
,,,,,,,41
,,,,,,,42
,,,,,,,43
,,,,,,,44
,,,,,,,45
,,,,,,,46
,,,,,,,47
,,,,,,,48
,,,,,,,49
,,,,,,,50
,,,,,,,51
,,,,,,,52
,,,,,,,53
,,,,,,,54
,,,,,,,55
,,,,,,,56
,,,,,,,57
,,,,,,,58
,,,,,,,59
,,,,,,,60
,,,,,,,61
,,,,,,,62
,,,,,,,63
,,,,,,,64
,,,,,,,65
,,,,,,,66
,,,,,,,67
,,,,,,,68
,,,,,,,69
,,,,,,,70
,,,,,,,71
,,,,,,,72
,,,,,,,73
,,,,,,,74
,,,,,,,75
,,,,,,,76
,,,,,,,77
,,,,,,,78
,,,,,,,79
,,,,,,,80
,,,,,,,81
,,,,,,,82
,,,,,,,83
,,,,,,,84
,,,,,,,85
,,,,,,,86
,,,,,,,87
,,,,,,,88
,,,,,,,89
,,,,,,,90
,,,,,,,91
