Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,4571,Bruno Lévesque,Michel Guezou,SNO,1,3*,1,1,0,1
FRA,4639,Marcel Buffet,Robert Leibovitch,CVP,3*,1,2,2,6,2
FRA,4632,Bernard Reynier,François Dury,CNBend,,,,,18.7,3
FRA,3808,Fischer,Morandi,CVP,,,,,30,4
FRA,4701,Pierre Sadoc,Yvon Kergreis,ARC,,,,,32.7,5
FRA,4914,Pierre Bretèche,Le Soudeer,SNO,,,,,35.1,6
FRA,4622,Chaplain,J. C. Bréard,SNO,,,,,36,7
FRA,4646,Dominique Savelli,François-Bernard Savelli,ANCRE,,,,,36,8
FRA,4325,Oeuvrard,Rouger,YCC,,,,,40,9
FRA,4511,Léon Brillouet,Marais,SRR,,,,,40.7,10
FRA,4611,Cheret,Drubay,SRR,,,,,43,11
FRA,4821,Mahe,Chaigne,CNBP,,,,,44,12
FRA,4004,Laplassotte,Wantz,CE re,,,,,49,13
FRA,4332,Drianno,Robin,SNO,,,,,51,14
FRA,4479,Le Gloahec,Thierry Moreau-Defarges,CVP,,,,,56,15
FRA,3694,Lévesque,Lallemand,SNO,,,,,65,16
FRA,4399,Duhau,Chaillou,CVP,,,,,67,17
FRA,4664,Boudier,Mme,YCIF,,,,,70,18
FRA,2799,Pillon,Pillon,CVC,,,,,71,19
FRA,4654,Patrick Nicolas,Bugeaud,CVT,,,,,72,20
FRA,,Boillot,Le Roux,SNL,,,,,73,21
FRA,4800,Mesmin,Tande,SRR,,,,,73,22
FRA,4009,Audren,Trichereau,SRZ 0,,,,,79,23
FRA,4605,Jacques Chouraki,Guillet,SRCO,,,,,81,24
FRA,4238,Michaud,Carlier,CNBP,,,,,83,25
FRA,3593,Picard,Leau,CVESQ,,,,,87,26
FRA,4420,Lange Berteaux,Poignant,CVT,,,,,91,27
FRA,4140,Schutz,Schutz,YCN,,,,,96,28
FRA,2101,Herteman,Vicard,SNGM,,,,,99,29
FRA,3771,Baillet,Baillet,YCIF,,,,,108,30
