Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,5032,Bernard Reynier,François Dury,,1,,1,2,12,,,18,1
FRA,4822,Jérôme Langlois,Philippe Sérane,,2,1,,1,16,,,21,2
FRA,4459,Bernard Claudel,Alain Claudel,,3,,,,1,,,"32,4",3
SWE,4316,Göran Eckeström,Jan Calvert,,4,2,,,,,,34,4
SUI,4943,Fehlmann,Fehlmann,,5,,1,,,,,"34,7",5
FRA,4881,Pierre Nesseler,Philippe Nesseler,,,,,,2,,,"34,7",6
SUI,4636,Balmas,Balmas,,,,,,,,,43,7
GBR,4942,Peter Bateman,Peter Sandy,,,,,3,,,,"47,7",8
SUI,4223,Urs Scherrer,Blum,,,,,,,,,51,9
FRA,4978,Francis Doerenbecher,Aubin Doerenbecher,,,,,,,,,"60,7",10
SUI,4093,Mullen,Wismer,,,,,,,,,"66,7",11
FRA,5055,Walt,May,,,,,,,,,69,12
SUI,4540,Quellet,Gardis,,,,,,,,,"74,7",13
FRA,4992,Th. de Chalvron,René Morch,,,,,,,,,77,14
SWE,4056,Hans Andersson,Kjell Lidman,,,,,,,,,82,15
FRA,,Richard,Richard,,,,,,,,,"83,7",16
SUI,4012,Isaac,Chevalier,,,,,,,,,86,17
SUI,4899,Heiner Kyburz,Stutz,,,,,,,,,88,18
SUI,3989,Momo,Gay,,,,,,,,,89,19
FRA,4680,Callamand,Bizouard,,,,,,,,,89,20
SUI,4959,Muller,Zunti,,,,,,,,,90,21
FRA,4702,Champenois,Bony,,,,,,,,,100,22
FRA,4695,Greco,Linet,,,,,,,,,104,23
SUI,4285,Wickart,Himmelsbach,,,,,,,,,105,24
SUI,4634,Faure,Bucher,,,,,,,,,109,25
FRA,4004,Dejeammes,Wantz,,,,,,,,,122,26
SUI,3988,Reymond,Gay,,,,,,,,,123,27
FRA,2581,Villiers,Avon,,,,,,,,,126,28
SUI,4927,Diday,Jordan,,,,,,,,,127,29
FRA,3716,Jamind,Rechsler,,,,,,,,,130,30
FRA,3439,Langlois,Silve,,,,,,,,,151,31
FRA,5068,Michon,Markt,,,,,,,,,157,32
