Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,,1,1,1,1,,,,1
FRA,4915,François Fischer,Jacques Chouraki,,,,,,,,,2
FRA,4646,Dominique Savelli,François-Bernard Savelli,,,,,,,,,3
FRA,4060,Timal,Timal,,,,,,,,,4
FRA,2845,Herfort,Mandoff,,,,,,,,,5
FRA,5000,Falempin,Pindaudier,,,,,,,,,6
FRA,4891,F. Souvestre,Lepage,,,,,,,,,7
FRA,4199,Jacques Collaert,Yves Moreau-Defarges,,,,,,,,,8
FRA,3438,Turquem,Frappier,,,,,,,,,9
FRA,4279,Alain Doloy,Lazennec,,,,,,,,,10
FRA,4900,Roland Banel,Serge Banel,,,,,,,,,11
FRA,4970,Robert Leibovitch,Duhau,,,,,,,,,12
FRA,4861,Creton,Leger,,,,,,,,,13
FRA,4228,Gilbert Vinches,François Padovani,,,,,,,,,14
FRA,4924,Jacques Amiot,Blasquiz,,,,,,,,,15
FRA,4356,Jacques Lefèvre,Roudot-Have,,,,,,,,,16
FRA,4009,Audren,Hetroy,,,,,,,,,17
FRA,4803,Guyot,Latrace,,,,,,,,,18
FRA,4664,Jean-Marc Boudier,Annie Boudier,,,,,,,,,19
FRA,4368,Mc Gregor,Mme Ribault,,,,,,,,,20
FRA,4702,Champenois,Bony,,,,,,,,,21
FRA,5013,Pierre Beauvais,Forestier,,,,,,,,,22
FRA,4325,Loisel,Martin,,,,,,,,,23
FRA,3620,Costa,Pochon,,,,,,,,,24
FRA,8,Guy Hédouin,Barrault,,,,,,,,,25
FRA,5023,Pillon,Pillon,,,,,,,,,26
FRA,2492,Privat,Louisnard,,,,,,,,,27
FRA,4806,Desmoulins,Adler,,,,,,,,,28
FRA,4139,Jacob-Antoine Lortat,Maillerbiau,,,,,,,,,29
FRA,2944,Joly,Lecot,,,,,,,,,30
