Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,,,,,,,,,3,1
FRA,5033,Jacques Armengaud,Philippe Hoffmann,,,,,,,,,"11,4",2
FRA,4404,Boyer,Forestier,,,,,,,,,14,3
FRA,4573,Fayein,Fayein,,,,,,,,,18,4
FRA,4800,Mesmin,Tande,,,,,,,,,"27,4",5
FRA,4915,Jacques Chouraki,Charly Hadfield,,,,,,,,,"32,7",6
FRA,4228,Gilbert Vinches,François Padovani,,,,,,,,,33,7
FRA,4970,Duhau,Robert Leibovitch,,,,,,,,,"36,7",8
FRA,2845,Herfort,Simonneau,,,,,,,,,42,9
FRA,4891,F. Souvestre,Ehlinger,,,,,,,,,45,10
FRA,5023,Charles Pillon,Baffert,,,,,,,,,"48,7",11
FRA,4664,Jean-Marc Boudier,Annie Boudier,,,,,,,,,49,12
FRA,5122,Casset,Lemarchand,,,,,,,,,55,13
FRA,4605,Gre,Colinet,,,,,,,,,57,14
FRA,2944,Joly,Lecot,,,,,,,,,59,15
FRA,5013,Pierre Beauvais,,,,,,,,,,60,16
FRA,3299,Delahaye,De Barros,,,,,,,,,64,17
FRA,5156,Christian Hauvette,Philippe Craplet,,,,,,,,,71,18
FRA,3570,Plante,Plante,,,,,,,,,71,19
FRA,8,Guy Hédouin,Barrault,,,,,,,,,71,20
FRA,0,Bataille,Chapron,,,,,,,,,75,21
