Country,,Helm,Crew,Club,,Points,Place
FRA,3650,Bernard Paternault,Denis Guiomard,CYVD,,200,1
FRA,,Souvestre,Cariot,CVM,,168,2
FRA,,Niverd,Niverd,CYVD,,141,3
FRA,,Amiot,Bisson,YCD,,134,4
FRA,,Christian Marechal,Baguet,YCD,,131,5
FRA,,Guyot,Busson,CVP,,100,6
FRA,,Claude Fixot,Hatfield,CNBP,,93,7
FRA,,Fenouil,Hedouin,CNV,,89,8
FRA,,Michel Christ,Cochois,ARC,,81,9
FRA,,Fontaine,,CVESQ,,80,10
FRA,,Maresquet,Lambert,CNCRO,,80,11
FRA,,Gilbert Vinches,François Padovani,YCD,,74,12
FRA,,Christian Hauvette,Crapelet,CVP,,72,13
FRA,,Hedouin,Barrault,CNV,,64,14
FRA,,Hamon,Venthénat,VGA,,61,15
FRA,,Duhaud,Dunan,CVP,,61,16
FRA,,Glever,Hallez,YCD,,60,17
FRA,,Roland Jouandeau,Gravier,CNV,,60,18
FRA,,Pascal,Leclercq,CVESQ,,60,19
FRA,,Le Gloahec,Guillard,CVL,,58,20
FRA,5339,Marcel Buffet,Thierry Moreau-Defarges,CVP,,55,21
FRA,,Herfort,Simoneau,CVESQ,,53,22
FRA,,Brunaud,Degaillande,CNV,,51,23
FRA,,Coindreau,Pradel,CVP,,50,24
FRA,5079,Alain Doloy,Alain Sage,CVP,,46,25
FRA,,Gaudry,Hareng,YCD,,45,26
FRA,,Leibovitch,Basquiz,CNV,,44,27
FRA,,Champion,Amirkhanian,CVESQ,,40,28
FRA,,Noël,Mme Noël,ACBB,,40,29
FRA,,Noizier,Arbrieux,CVP,,40,30
FRA,,Bert,,CVP,,40,31
FRA,,Weckstein,Henry,,,40,32
FRA,,Chabots,Swiatopołk-Mirski,,,40,33
FRA,,Jacques Armengaud,Philippe Hoffmann,CVP,,31,34
FRA,,Di Pede,Mme Di Pede,CVSP,,31,34
FRA,,Leger,Blasquez,CNV,,31,34
FRA,,Gre,Dechennez,CNHS,,29,37
FRA,,Ces,Ces,CVSP,,27,38
FRA,,Souloumiac,,CVESQ,,26,39
FRA,,Gadel,Gadel,CNVC,,25,40
FRA,,Spanjaard,Spanjaard,YCD,,23,41
FRA,,Hertel,Hertel,CVSP,,23,41
FRA,,Taillandier,Bonnel,YCP,,22,43
FRA,,Durand,,CVESQ,,22,43
FRA,,Croq,Croq,CNV,,21,45
FRA,,Pillon,Pillon,CVC,,21,45
FRA,,Jamin,,CVP,,20,47
FRA,,Pelissier,,CVESQ,,20,48
FRA,,Chaffaux,Chaffaux,CVMV,,20,49
FRA,,Boudier,Mme Boudier,CVP,,20,50
FRA,,Herbinet,,CVESQ,,20,50
FRA,,Lortat,Lortat,ASOV,,20,52
FRA,,Beauvais,Baratoux,CNV,,20,53
FRA,,Partin,Braizaz,,,20,54
FRA,,Ohayon,Oelcherre,CYVD,,20,55
FRA,,Mahe,,CVP,,20,56
FRA,,Morel,,VGA,,20,57
FRA,,Beau,,CVESQ,,20,58
FRA,,Delivry,Ventenet,VGA,,20,58
FRA,,Roland,Queneuille,,,20,58
FRA,,Desmoulins,,CVM,,20,61
FRA,,Leclercq,,CVESQ,,20,62
FRA,,Legond,Legond,CVESQ,,20,62
FRA,,Morel,,VGA,,20,64
FRA,,Tixier,Nachbauer,CVESQ,,20,65
FRA,,Louisnard,Louisnard,CVESQ,,20,66
FRA,,Bandini,Chambre,CVMV,,20,67
