Country,Boat no,Name,,Club,,Points,Place
FRA,,Schutz,,YCN,,4040,1
FRA,,Mulder,,YCN,,3267,2
FRA,,Heymann,,YCN,,2915,3
FRA,,Simon,,CYVM,,1910,4
FRA,,Blanchard,,ACAL,,2219,6
FRA,,Pfaadt,,ACAL,,1855,8
FRA,,Wastiaux,,CYVM,,1910,7
FRA,,Deleau,,YCN,,1156,9
FRA,,Prevot,,YCL,,1032,10
FRA,,Noel,,YCN,,809,11
FRA,,Degreve,,ACAL,,665,12
FRA,,Vitelli,,YCS,,663,13
FRA,,Martin,,ACAL,,661,14
FRA,,Moreau,,ACAL,,562,15
FRA,,Stoll,,YCL,,540,16
FRA,,Garnier,,YCN,,478,17
FRA,,Delor,,YCN,,465,18
FRA,,Aubertin,,YCL,,412,19
FRA,,Engel,,YCS,,398,20
FRA,,Bontempi,,CYVM,,398,21
FRA,,Schaub,,CNHS,,356,22
FRA,,Carvallo,,CNHS,,323,23
FRA,,Belhade,,YCN,,299,24
FRA,,Bouvier,,YCD,,199,25
