Nation,Boat,Helm,Crew,Club,Race 1,Points,Place
GBR,5789,Peter Colclough,Steve Jones,,,,1
AUS,,Terrence S. Kyrwood,Reginald F. Crick,,,,2
AUS,,R. Nonris,I. Rudder,,,,3
AUS,,Geoffrey Kyrwood,Bob Kyrwood,,,,4
GBR,,John Loveday,Lew Dann,,,,5
,,,,,,,6
,,,,,,,7
,,,,,,,8
,,,,,,,9
,,,,,,,10
,,,,,,,11
,,,,,,,12
,,,,,,,13
,,,,,,,14
,,,,,,,15
,,,,,,,16
,,,,,,,17
SWE,,Ulf Andersson,Jan Andersson,,,,18
SWE,,Göran Olsson,Magnus Olsson,,,,19
,,,,,,,20
,,,,,,,21
SWE,,Jens Christensen,,,,,22
,,,,,,,23
,,,,,,,24
,,,,,,,25
,,,,,,,26
,,,,,,,27
,,,,,,,28
,,,,,,,29
,,,,,,,30
,,,,,,,31
,,,,,,,32
,,,,,,,33
,,,,,,,34
,,,,,,,35
,,,,,,,36
,,,,,,,37
,,,,,,,38
,,,,,,,39
,,,,,,,40
,,,,,,,41
,,,,,,,42
,,,,,,,43
,,,,,,,44
,,,,,,,45
,,,,,,,46
,,,,,,,47
,,,,,,,48
,,,,,,,49
,,,,,,,50
,,,,,,,51
,,,,,,,52
,,,,,,,53
,,,,,,,54
,,,,,,,55
,,,,,,,56
,,,,,,,57
,,,,,,,58
,,,,,,,59
SWE,,Jens Markholm,,,,,60
,,,,,,,61
,,,,,,,62
,,,,,,,63
,,,,,,,64
,,,,,,,65
