Country,Boat number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,5651,François Le Trocquer,Devaux,C.V.E.S.Q.,,,,,,1
FRA,,Philippe Boite,Maubert,,,,,,,2
FRA,5967,Landry,Landry,C.N.R.O.,,,,,,3
FRA,,Gilbert Vinches,Patrick Conard,Y.C. A.,,,,,,4
FRA,,Paternault,Paternault,,,,,,,5
FRA,5575,Marechal,Baguet,,,,,,,6
FRA,,Silvestre,Chapel,,,,,,,7
FRA,6210,Fixot,Brezot,,,,,,,8
FRA,5790,Robert Leibovitch,Amiot,,,,,,,9
FRA,,Gaudry,Michel,,,,,,,10
FRA,,Blanchet,Lasnier,,,,,,,11
FRA,,Demoecq,Berron,,,,,,,12
FRA,,Mazure,Koch,C.N. Bourgogne,,,,,,13
FRA,5865,Dewagenaere,Dewagenaere,,,,,,,14
FRA,5999,Voisin,Voisin,C.V.P.,,,,,,15
