Country,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Score,Place
FRA,5464,Serge Guillaume,Loïc Gaborit,,,,,,,,"24,4",1
FRA,6170,Marcel Buffet,Yves Brézot,,,,,,,,"32,7",2
FRA,,Gilbert Vinches,Patrick Conard,,,,,,,,"33,4",3
FRA,6182,Michel Christ,Cordonnier,,,,,,,,36,4
FRA,5967,Georges Landry,Jean Landry,,,,,,,,"44,7",5
FRA,,Balingard,Modolo,,,,,,,,46,6
FRA,6339,Lefage,Lepage,,,,,,,,"59,4",7
FRA,,Pierre Bretèche,Cordonnier,,,,,,,,"69,7",8
FRA,,Tristan,Courtel,,,,,,,,82,9
FRA,,Robert Fossard,Lamaze,,,,,,,,"82,7",10
FRA,,Hue,Augereau,,,,,,,,84,11
FRA,,Le Soudeer,Guillaud,,,,,,,,89,12
FRA,5790,Robert Leibovitch,Chouraki,,,,,,,,"90,7",13
FRA,,Nicot,Nicot,,,,,,,,92,14
FRA,,Weber,Weber,,,,,,,,94,15
FRA,,Kergreis,Breurec,,,,,,,,107,16
FRA,,Le Gloahec,Ollivier,,,,,,,,114,17
FRA,,Lambourg,Genadinos,,,,,,,,117,18
FRA,,Nadaud,Berhault,,,,,,,,120,19
FRA,,Pascal,Jeudy,,,,,,,,122,20
FRA,,Villaume,Pilorget,,,,,,,,126,21
FRA,,David,David,,,,,,,,144,22
FRA,,Voisin,Voisin,,,,,,,,147,23
FRA,,Boudier,Boudier,,,,,,,,153,24
FRA,,Marchais,Baudry,,,,,,,,154,25
