country,No.,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Pts,Pos
FRA,62*,Jérôme Langlois,Philippe Sérane,C.N. Croisette,,,,,3,1
FRA,6170,Marc Bouet,Nicolas Jolly,F.F.V.,,,,,27,2
FRA,5565,Marcel Buffet,Jacques Chouraki,C.V.p. Paris,,,,,27,3
FRA,6095,Robert Fossard,Laiaze,Golfe Des Lecques,,,,,27,4
FRA,5464,Serge Guillaume,Dupuis,C.N. Bendor,,,,,74,5
FRA,622*,Gilbert Vinches,Patrick Conard,Y.C. A.,,,,,48,6
FRA,5000,Jacques Raguet,Jean Franco Bertrand,C.V.b.n.,,,,,52.4,7
FRA,5967,Landry,Landry,C.N.r.o.,,,,,54,8
FRA,6198,Jean‑Michel Russo,Narbonie,Y.C. Hyeres,,,,,63.7,9
FRA,6182,Michel Christ,Demenais,C.V. A St Maur,,,,,64.7,10
FRA,6189,De Restebo,Blanchard,A.C.a.l. Strasbourg,,,,,69,11
FRA,6339,Bernard Oudard,Denis Oudard,Y.C. Brie,,,,,72,12
FRA,4224,Jacques Cavalié,Dabis,C.V.b.n.,,,,,81,13
FRA,6040,Jean-Baptiste Dupont,Priou,C.V.b.n.,,,,,92,14
FRA,5612,Philippe,Philippe,C.N.t.h.,,,,,94,15
FRA,4664,David,Wattinne,C.V. Marseille,,,,,100,16
FRA,6339,Lefevre,Lefevre,C.N. Rouquet,,,,,101,17
FRA,6367,Bachmann,Dauer,C.V.e.s.q.,,,,,102,18
FRA,5790,Robert Leibovitch,Nicolas Vasseur,C.N.v. Chatillon,,,,,104.7,19
FRA,6037,Tristan,Tony Tio,S.r.r.,,,,,105,20
FRA,6279,Alain Doloy,Rehesson,C.V.p.,,,,,109,21
FRA,6083,Marnez,De Robillard,Polytechnique,,,,,114,22
FRA,5977,Sustra,Fouret,C.V.p.,,,,,117,23
FRA,5722,Dejean,Dejean,C.V.b.n.,,,,,117,24
FRA,5651,François Le Trocquer,Devaux,C.V.e.s.q.,,,,,119,25
FRA,6241,Nicot,Nicot,S.n.p.p.,,,,,126,26
FRA,5550,Christian Mautin,Bertrand A.,A.C.a.l. Strasbourg,,,,,126,27
FRA,6142,Marque,Lanaverre,C.V.b.n.,,,,,127,28
FRA,5575,Marechal,Brunaud,Y.C.a.,,,,,133,29
FRA,6370,Brillouet,Gelusseau,S.r.r.,,,,,133,30
FRA,6262,Jean-Marie Danielou,Phellipon,S.r.r.,,,,,137.7,31
FRA,6036,De Meocq,Besson,Port Bail,,,,,142,32
FRA,6179,Marc Conan,Eric Conan,C.N.b.p.,,,,,147,33
FRA,5890,Bereault,Bereault,Les Sternes,,,,,148,34
FRA,5683,Rigoux,Bastard,C.V.b.n.,,,,,168,35
FRA,6,Mazure,Koch,C.N. Bourgogne,,,,,168,36
