ountry,Boat number,Helm,Crew,Club,Viry,Lavacourt,Dammarie,CVESQ,Lavacourt,Points,Place
FRA,,Paternaut,Guiomard,,,,,,,4491,1
FRA,6170,Marcel Buffet,Thierry Moreau-Defarges,,,,,,,4110,2
FRA,,Gilbert Vinches,François Padovani,,,,,,,3119,3
FRA,5967,Georges Landry,Jean Landry,,,,,,,2924,4
FRA,5651,François Le Trocquer,Wladimir Dombrowski,,,,,,,2633,5
FRA,5575,Christian Maréchal,Baguet,,,,,,,2618,6
FRA,,Leger,Chaput,,,,,,,2473,7
FRA,,Souvestre,Paternaut,,,,,,,2208,8
FRA,5790,Robert Leibovitch,Conard,,,,,,,1511,9
FRA,6279,Alain Doloy,Sage,,,,,,,1291,10
FRA,,Boite,Boite,,,,,,,1224,11
FRA,,Thibault Di Pède,Meteniet,,,,,,,1142,12
FRA,,Fontaine,Mabire,,,,,,,988,13
FRA,,Brunaud,Guenahen,,,,,,,890,14
FRA,,Christian Hauvette,Crapelet,,,,,,,844,15
FRA,,Claude Fixot,Yves Brézot,,,,,,,815,16
FRA,5890,Bereault,Bereault,,,,,,,701,17
FRA,5464,Serge Guillaume,Dupuy,,,,,,,681,18
FRA,,Collaert,Moreau Defarges,,,,,,,657,19
FRA,,,,,,,,,,,20
FRA,,,,,,,,,,,21
FRA,,,,,,,,,,,22
FRA,,,,,,,,,,,23
FRA,,,,,,,,,,,24
FRA,,,,,,,,,,,25
FRA,,,,,,,,,,,26
FRA,,,,,,,,,,,27
FRA,,,,,,,,,,,28
FRA,,,,,,,,,,,29
FRA,,,,,,,,,,,30
FRA,,,,,,,,,,,31
FRA,,,,,,,,,,,32
FRA,,,,,,,,,,,33
FRA,,,,,,,,,,,34
FRA,,,,,,,,,,,35
FRA,,,,,,,,,,,36
FRA,,,,,,,,,,,37
FRA,,,,,,,,,,,38
FRA,,,,,,,,,,,39
FRA,,,,,,,,,,,40
FRA,,,,,,,,,,,41
FRA,,,,,,,,,,,42
FRA,,,,,,,,,,,43
FRA,,,,,,,,,,,44
FRA,,,,,,,,,,,45
FRA,,,,,,,,,,,46
FRA,,,,,,,,,,,47
FRA,,,,,,,,,,,48
FRA,,,,,,,,,,,49
FRA,,,,,,,,,,,50
FRA,,,,,,,,,,,51
FRA,,,,,,,,,,,52
FRA,,,,,,,,,,,53
FRA,,,,,,,,,,,54
FRA,,,,,,,,,,,55
FRA,,,,,,,,,,,56
,,,,,,,,,,,57
