Country,Boat number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
MAR,6448,Georges le Troquer,E. Devaux,,,,,,,1
FRA,,Philippe Boite,Canzano,,,,,,,2
FRA,,Georges Landry,Jean Landry,,,,,,,3
FRA,,Christian Silvestre,Anne Delagrave,,,,,,,4
FRA,,Paternault,Paternault,,,,,,,5
FRA,,Backman,Dauer,,,,,,,6
FRA,,Mazure,Koch,,,,,,,7
FRA,,Christian Hauvette,Philippe Craplet,,,,,,,8
FRA,,Souvestre,Bernard Paternault,,,,,,,9
FRA,,Bernard Oudard,Denis Oudard,,,,,,,10
FRA,,Fontaine,Siffer(t),,,,,,,11
FRA,,Bergerat,Bergerat,,,,,,,12
FRA,,Taillandier,Dautzenberg,,,,,,,13
FRA,,Amillac,Lombard,,,,,,,14
FRA,,Keramsi,Dewagenaere,,,,,,,15
FRA,,Michon,Viale,,,,,,,16
FRA,,Bereault,Bereault,,,,,,,17
FRA,,Perrin,Hautefeuille,,,,,,,18
FRA,,Bouichou,Bouichou,,,,,,,19
