Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,,Philippe Lécrit,Jacques Laffargue,,,1,1,1,,1
FRA,,Philippe Blanchard,Jean Blanchard,,1,,,,,2
FRA,,Guy de Restrepo,Galle,,,,,,,3
FRA,,Nol,Nol,,,,,,,4
GER,,Strobmenger,Dietz,,,,,,,5
GER,,Ralf Stoll,Schweig,,,,,,,6
GER,,Forster,Andreae,,,,,,,7
GER,,Doerenbecher,Boehaender,,,,,,,8
FRA,,Haac,Bock,,,,,,,9
GER,,Sturmer,Sturmer,,,,,,,10
GER,,Wasknig,Rusom,,,,,,,11
FRA,,Vitelli,Simon,,,,,,,12
GER,,Wiedemann,Wiedemann,,,,,,,13
FRA,,Hervouet,Haouy,,,,,,,14
FRA,,Perrin,Perrin,,,,,,,15
GER,,Quellmalz,Becher,,,,,,,16
GER,,Kuhn,Bradtisch,,,,,,,17
FRA,,Brengard,Chazeau,,,,,,,18
GER,,Krebser,Zimpfer,,,,,,,19
FRA,,Pfaadt,Gloriod,,,,,,,20
FRA,,Ehrhardt,Paquotte,,,,,,,21
FRA,,Pagliano,Krauth,,,,,,,22
FRA,,Metzger,Plessy,,,,,,,23
GER,,Philippides,Priestmann,,,,,,,24
GER,,Feuerhake,Lamor,,,,,,,25
GER,,Bock,Neumeyer,,,,,,,26
GER,,Nowack,Muft,,,,,,,27
GER,,Engel,Lonsdorfer,,,,,,,28
GER,,Schutz,Ney,,,,,,,29
FRA,,Berthe,Deboralle,,,,,,,30
FRA,,Schirrer,Peltre,,,,,,,31
FRA,,Mmes Galle,Guy de Restrepo,,,,,,,32
LUX,,Grlitz,Majerus,,,,,,,33
GER,,Meier,Meier,,,,,,,34
FRA,,Liquiere,Deloye,,,,,,,35
FRA,,Ducep,Desmoulins,,,,,,,36
FRA,,Legentil,Boukhetaia,,,,,,,37
FRA,,Allain,Belin Isabelle,,,,,,,38
GER,,Hunderlick,Hackl,,,,,,,39
FRA,,Moreau,Zerr,,,,,,,40
GER,,Schildkamp,Eckel,,,,,,,41
GER,,Zimmer,Burg,,,,,,,42
FRA,,Sittler,Schmitt,,,,,,,43
GER,,Richter,Raver,,,,,,,44
GER,,Bornemann,Frres,,,,,,,45
FRA,,Foucaud,Hirth,,,,,,,46
FRA,,Lasserre,Lasserre,,,,,,,47
FRA,,Blaschette,Breger,,,,,,,48
GER,,Forster,Nicolai,,,,,,,48
GER,,Lehmann,,,,,,,,48
GER,,Bode,Bode,,,,,,,48
