Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,6250,Yves Pottier,Bruno Reine,,,,,,,1
FRA,,Manière,Tétard,,,,,,,2
FRA,6347,Nicolas Loday,Harin,,,,,,,3
FRA,,Pierre Gadel,Georges Gadel,,,,,,,4
FRA,,Raguet,Boyer,,,,,,,5
FRA,,Gérard Derché,Alain Derché,,,,,,,6
FRA,,Bruno Lévesque,Lepage,,,,,,,7
FRA,6732,Jean-Pierre Cordonnier,Alain Cordonnier,,,,,,,8
FRA,,Nicot,Nicot,,,,,,,9
FRA,,Bréteché,Fury,,,,,,,10
FRA,,LeSouder,,,,,,,,11
FRA,,Cavalié,Davis,,,,,,,12
FRA,,Nadaud,Gaborit,,,,,,,13
FRA,,Sylvan Pellissier,Paquet,,,,,,,14
