Country,Boat Number,Helm,Crew,Club,,,Place
FRA,,Marcel Buffet,Jérôme Serane,,,,1
FRA,,Georges le Troquer,E. Devaux,,,,2
FRA,,Bernard Paternault,Denis Guiomard,,,,3
GER,,Ralf Stoll,Schweig,,,,4
FRA,,Bernard Oudard,Denis Oudard,,,,5
FRA,,Ces,Chaput,,,,6
FRA,,Edouard Léger,Serusclat,,,,7
FRA,,Cassou,Pennerp,,,,8
FRA,,Taillendier,Dautzenberg,,,,9
FRA,,Souvestre,Paternault,,,,10
FRA,,Christian Hauvette,Philippe Craplet,,,,11
FRA,,Bock,Neumeyer,,,,12
FRA,,Bouichou,Bouichou,,,,13
FRA,,Breault,Breault,,,,14
FRA,,Le Gentil,Boukhetaia,,,,15
FRA,,Bandini,Le Mao,,,,16
FRA,,Bergerat,Bergerat,,,,17
FRA,,Allain,Belin,,,,18
FRA,,Pelletier,Pelletier,,,,19
FRA,,Weickstein,Temin,,,,20
