Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,,Jacques Raguet,Jean Franco Bertrand,CVBordeauxNoroit,,4,1,1,,1
FRA,,Dorée,Correard,Marseille,1,5,2,3,,2
FRA,,Doerenbecher,Boehlander,,4,,,2,,3
FRA,,Serge Guillaume,Joque L.,,3,1,,DNF,,4
FRA,,Noel,Noel,,,2,3,,,5
GER,,Ralf Stoll,Schweig,,,3,4,,,6
FRA,,Balmas,Balmas,,,,5,4,,7
SUI,,Lucien Keller,Pascalis,,2,,,DNF,,8
SUI,,Haldi,Mrs. Haldi,,,,,,,9
FRA,,Mirabello,Fabiano,,,,,,,10
FRA,,Mehl,Gindre,,,,,,,11
FRA,,Berthier,Demesmay,,,,,,,12
FRA,,Baldnweg,Baldnweg,,,,,,,13
FRA,,Markt,Treboz,,,,,,,14
FRA,,Bernard Moret,René Morch,CVLyon,5,DNF,DNS,DNS,,15
FRA,,Fossard,Lamaze,,,,,,,16
FRA,,Rotilly,Noelli,,,,,,,17
FRA,,Bock,Neumeyer,,,,,,,18
FRA,,Berard,Coin,,,,,,,19
FRA,,Riond,Schagen,,,,,,,20
FRA,,Clerc,Hibon,,,,,,,21
FRA,,Minder,Coste,,,,,,,22
FRA,,Bury,Duque Snel,,,,,,,23
FRA,,Barbier,Garreau,,,,,,,24
FRA,,Guillemet,Corde,,,,,,,25
FRA,,Paquotte,Guthman,,,,,,,26
FRA,,,,,,,,,,27
FRA,,,,,,,,,,28
FRA,,,,,,,,,,29
FRA,,,,,,,,,,30
