Nation,Sail Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Total,Place
SWE,7343,Karl-Erik Nilsson,Bengt Zachrisson,TKK,2,2,1,3,1,5*,14,9,1
SWE,7591,Ebbe Rosén,Olle Wenrup,KSSS,1,1,3,7*,3,3,18,11,2
SWE,7593,Staffan Eklund,Göran Bobeck,KSSS,6,9*,2,8,2,1,28,19,3
SWE,7471,Bo Ferm,Frank Bach,LSS,5,4,7,2,4,19*,41,22,4
SWE,7468,Br Kent Högberg,Gerry Högberg,GKSS,4,6,16*,5,9,2,42,26,5
SWE,7482,Niklas Philipson,Lars Stugemo,KSSS,8,3,5,15,31*,4,66,35,6
SWE,7455,Petter Bengtsson,Lars Hultgren,ASSS,12*,11,4,12,5,7,51,39,7
SWE,7297,Per Oskarsson,Lars Edström,KSSS,31*,7,11,9,8,6,72,41,8
FIN,7663,Peter Flinkman,Otto Toivanen,TPS,3,17*,8,6,16,12,62,45,9
SWE,7289,Lars Börjesson,Lars Lindvall,GKSS,9,8,18,11,22*,8,76,46,10
FIN,7658,Hannu Merikallio,Olli Karlsson,MSC,11,31*,15,18,6,18,99,52,11
SWE,7542,Erik Kallin,Göran Ek,HKK,13,12,17,1,11,21*,75,54,12
SWE,7435,Tomas Nordqvist,Johan Wadmark,KKKK,18,28*,9,4,15,9,83,55,13
SWE,7188,Christian Madsen,Martin Svalstedt,KKKK,7,13,12,24*,7,18,81,57,14
SWE,7498,Per Pettersson,Patrik Ringblom,KKKK,31*,5,13,17,19,13,98,67,15
SWE,7548,Anders Peterson,David Ström,GSS,17,28*,6,13,14,17,95,67,16
SWE,7296,Anders Karlsson,Lars Lexell,HKK,15,19*,14,18,18,14,98,71,17
SWE,7448,Hans Andersson,Stefan Bergqvist,NSS,18,18,19*,19,18,15,107,72,18
FIN,7467,George Gebhard,Timo Seppelainen,HSK,14,18,28*,16,17,11,104,76,19
SWE,7165,Håkan Brood,Hans Malmqvist,TJS,21,16,22,14,12,28*,113,85,20
SWE,7145,Br Björn,Anders Kemmler,TJS,16,14,26,28*,13,22,119,85,21
SWE,7181,Marianne Kling,Per Hansson,GSS,22,31*,21,23,21,16,134,183,22
SWE,7033,Tomas Arebo,M Svanström,KSSS,28*,28,24,21,28,28,157,113,23
SWE,6143,Anders Mårtensson,Oskar Hellbom,TJS,23,22,25,25,20,31*,146,115,24
SWE,6841,Peter Svensson,Jens Eliason,HKK,24,23,27,22,31*,28,155,116,25
SWE,6434,Mats Falle,Johan Hedberg,HKK,31*,15,18,28,28,28,148,117,26
SWE,6680,Br Persson,,LSS,19,21,23,31*,28,28,150,119,27
