Country,Sail Number,,Name,,Points,Position
FRA,7931,Herve Wattine,Louis-Michel Ces,,"29,7",1
DEN,7017,Svend-Erick Molbech,Poul Strange,,33,2
SWE,7343,Karl-Erik Nilsson,Pettersson,,33,3
SUI,7953,Stephan Rueger,Peter Seitz,,"36,1",4
SWE,7592,Jan Bergström,Bengt Zachrisson,,46,5
FRA,7617,Philippe Delhumeau,Michel Philippe,,"53,1",6
SWE,7351,Jesper Wallin,Karl-Aage Reerslev,,"53,7",7
GER,7955,Thomas Jundel,Holger Jess,,"78,7",8
GER,7589,Adalbert Kluck,Gerhard Schmidt,,79,9
GER,7548,Hauke Rathjens,Frank Uhlemann,,80,10
GER,7751,Roger Oswald,Christian Wiskemann,,"150,7",11
DEN,7820,Sten Skorsgaard,Morten Storgaard,,86,12
GER,7781,Andreas Thomsen,Reinhard Schultz,,89,13
DEN,7883,Jacob Bojsen Moller,Anders Kampe,,"101,7",14
GER,7860,Christof Becker,Tim Boeger,,110,15
SWE,7435,Tomas Nordqvist,Johan Wadmark,,113,16
GER,7597,Anselm Bracht,Philip Genschel,,115,17
DEN,6886,Jakob Thomassen,Jeppe Rasmussen-Wellerup,,115,18
GER,7584,Bernd Kowalzig,Claus Tiedemann,,120,19
FIN,7909,Kimmo Lautanen,Visa Hietalahti,,131,20
GER,7757,Frank Dieckmann,Mark Dieckmann,,"131,7",21
GER,7927,Brigitte Preuss,Rolf Bertenrath,,138,22
GER,7659,Lutz Pietrass,Wolfgang Rosteck,,142,23
SWE,7455,Anders Lewander,Anders Martensson,,143,24
SWE,7453,Frederik Lindblad,Lars Jonsson,,145,25
GER,7587,Stefan Schollmayer,Roman Theisen,,147,26
GER,7661,Michael Ickert,Nils Niermann,,151,27
GER,7451,Ewald Brzoska,Hanno Barth,,153,28
FIN,7273,Tom Nyman,Bjorn Bundars,,155,29
GER,6505,Thomas Cramer,Helge von der Linden,,157,30
GER,6938,Jürgen Eigenbrod,Kai Jeschke,,162,31
DEN,7020,Lars Snotnaese,Jan Feddersen,,164,32
FIN,7652,Petri Ebeling,Esko Aho,,166,33
GER,7942,Martin Kehr,Michael Jaeschke,,170,34
DEN,6453,Ole Holst Christensen,Jacob Holst Christensen,,172,35
GER,7817,Dirk Dehncke,Hans Christian Schwieger,,184,36
GER,7834,Thomas von der Linde,Jan Schmidt,,187,37
GER,7443,Jochen Gern,Wolfgang Hofmeister,,202,38
GER,7292,Guenter Kerkloh,Markus Reinhardt,,217,39
GER,7908,Joerg Manfred Daehne,Joern Danker,,221,40
GER,6685,Thomas Zager,Andreas Kleist,,222,41
GER,7219,Jan Behrend,Jan Harders,,232,42
GER,6941,Jürgen A. Frommholz,Burghard Vierth,,240,43
GER,7674,Gerhard Meyer,Horst Sjuts,,260,44
GER,7854,Klaus Eifler,Ulrich Joost,,264,45
GER,7143,Dirk Schewe,Stefan Kriebel,,280,46
SWE,6829,Bjorn Gustaysson,Jan Jaberg,,282,47
SWE,7460,Kent Högberg,Gerry Högberg,,290,48
SWE,7655,Krister Bergström,Göran Bobeck,,330,49
,,,,,,50
,,,,,,51
,,,,,,52
,,,,,,53
,,,,,,54
,,,,,,55
,,,,,,56
,,,,,,57
,,,,,,58
,,,,,,59
