Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,,Race 1 Points,Race 2 Points,Race 3 Points,,Points Netto,Place
GER,8065,Hans-Georg Joost,Ulrich Joost,SVSS,2,1,1,,"1,6",0,0,,"1,6",1
GER,8166,Rudolf Baalmann,Ulrike Janßen,WSV8,5,2,3,,5,"1,6","2,9",,"9,5",2
GER,7539,Wolfgang Thieschäfer,Elke Thieschäfer,YCZ,4,3,4,,4,"2,9",4,,"10,9",3
GER,7893,Axel Lenderoth,Jo Ellerbeck,SVW,1,4,8,,0,4,8,,12,4
GER,7550,André Zander,Peer Jenssen,Etuf,3,6,5,,"2,9",6,5,,"13,9",5
GER,7747,Gernot Meyer,Joachim Bobbert,EKSG,8,5,2,,8,5,"1,6",,"14,6",6
GER,7298,H. Bühring,M. Heine,YCZ,7,10,6,,7,10,6,,23,7
GER,7674,Gerhard Meyer,Lars Meier,SVSS,9,7,9,,9,7,9,,25,8
GER,8685,T. Zager,A. Kleist,85V,11,8,7,,11,8,7,,26,9
GER,7048,G. Roos,D. Roos,SVW,6,9,11,,6,9,11,,26,10
GER,7746,R. Westera, ,YCZ,10,11,13,,10,11,13,,34,11
GER,6165,O. Thedinga,R. Engelmann,YCA,12,15,10,,12,15,10,,37,12
GER,7745,Fritz Sobott,Thomas Sobott,OCWN,16,12,12,,16,12,12,,40,13
GER,7443,Anton Hölscher,Frank Hölscher,OCWN,13,13,16,,13,13,16,,42,14
GER,7037,Mechthild Bruns,Claus Bornhorst,TSV,15,14,14,,15,14,14,,43,15
GER,7587,Walter Kolm,Jörg Huth,OCWN,14,18,15,,14,18,15,,47,16
GER,5632,A. Tlrre,M. Saffenreuter,YCZ,17,17,17,,17,17,17,,51,17
GER,7130,D. Ritter,G. Ramaker,OCWN,18,16,18,,18,16,18,,52,18
