Nation,sail number,Helm,Race,KLUBB,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,SUM,
SWE,7655,Krister Bergström,PA Hallberg,GKSS,1,1,1,4,1,DNC,8,1
DEN,8030,Bo Petersen,Sören Storm,AY,11,2,2,1,4,5,14,2
DEN,8108,Jørgen Holm,Finn Jensen,AY,7,6,4,7,2,1,20,3
SWE,7343,Kalle Nilsson,Christian Madsen,GKSS,2,3,6,2,11,DSQ,24,4
DEN,8031,Lars Christensen,Jan Feddersen,FS,3,5,8,3,6,8,25,5
SWE,7593,Staffan Eklund,Anders Eklund,KSSS,6,7,3,5,8,13,29,6
SWE,8033,Anders Petersson,Lars Edström,HKK,4,15,7,12,5,3,31,7
DEN,8082,Jakob Thomasen,J.Rasmussen,KDY,5,4,12,10,12,4,35,8
DEN,8144,Lars Bøjvad,Martin Olsen,AY,10,14,10,6,7,7,40,9
DEN,8020,Jacob Bojsen-Møller,Poul Strange,HS,15,8,5,8,13,9,43,10
SWE,7507,Pelle Norberg,Claes Bohman,BRÅS,16,10,13,9,10,10,52,11
SWE,8116,Björn Fagerström,Thomas Rahm,GKSS,8,19,15,13,3,15,54,12
DEN,8056,Mikkel Storgaard,A.F-Møller,SB,9,17,23,11,9,14,60,13
SWE,8146,Kent Högberg,Gerry Högberg,GKSS,19,13,20,15,14,2,63,14
SWE,7833,Petter Moge,Mikael Moge,KSSS,13,16,14,14,17,6,63,15
SWE,7922,Ebbe Rosén,Anders Mårtensson,KSSS,12,12,16,16,15,DNF,71,16
SWE,7145,Erik Kallin,Lars Lexell,HKK,14,20,11,17,19,12,73,17
SWE,7716,Martin Dubois,Robert Dubois,KSSS,18,18,21,19,16,16,87,18
DEN,7882,Thomas Albrechtsen,M.Jakobsen,HS,22,21,18,18,21,11,89,19
SWE,8022,Jesper Wallin,Karl-Aage Reerslev,HKK,17,11,17,21,DNC,DNC,95,20
FIN,7948,Hannu Merikallio,Tom Lindström,HSS,20,9,9,DNF,DNC,DNC,96,21
SWE,7471,Staffan Sundelin,M.Aldén,KSSS,23,22,22,20,18,DNF,105,22
SWE,7296,Björn Gustavsson,G.Sandberg,HKK,21,23,19,PMS,20,DSQ,112,23
SWE,922,Magnus Elfström,M.Nilsson,GKSS,26,27,26,22,23,17,114,24
SWE,7348,Richard Brånemark,M.Ysander,HÄSS,28,26,27,23,24,18,118,25
SWE,6434,Jesper Camitz,M.Fischer,HKK,25,25,25,24,22,DNC,121,26
SWE,7460,Peter Jacobsson,N.Jönsson,SSS,24,DNF,28,26,25,19,122,27
SWE,7592,Leif Norberg,L.Norberg,GKSS,27,24,24,25,DNC,DNC,129,28
