Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
GER,7589,Adalbert Kluck, Gerhard Schmidt,,2,1,1,5,,,,1
GER,8075,Hauke Rathjens,Frank Uhlemann,,4,2,3,1,,,,2
GER,8252,Bernd Kowalzig,Claus Tiedemann,,3,4,2,2,,,,3
GER,8226,Tim Böger,Klaus Stammerjohann,,1,3,DSQ,3,,,,4
GER,8121,Dieter Cordes,Christian Stienen,,7,5,6,4,,,,5
GER,8188,Brigitte Preuß,Rolf Bertenrath,,6,6,5,8,,,,6
GER,8166,Rudolf Baalmann,Ulrike Janßen,,8,8,8,7,,,,7
GER,7550,André Zander,Peer Jenssen,,11,13,7,10,,,,8
GER,7963,Christian Rathgen,Till Reckert,,5,7,RET,6,,,,9
GER,6770,Karl-Heinz Hilgers,Wolfgang Bogacki,,13,12,11,9,,,,10
GER,8224,Thomas Zager,Andreas Kleist,,9,11,9,DNS,,,,11
GER,8235,Axel Lenderoth,Jo Ellerbeck,,10,9,10,DNS,,,,12
GER,8155,Carsten Hammer,Rolf Meyer,,DNF,10,4,DNS,,,,13
GER,7778,Thomas Schmidt,Wolfgang Stückl,,12,14,12,DNS,,,,14
GER,8225,Engelbert Theben,Annette Kreyerhoff,,15,15,13,DNS,,,,15
NED,7676,Ben Vaes,Jos Vaes,,14,DNS,16,DNS,,,,16
GER,8118,Jürgen Feuerhake,Margit Falk,,16,RET,14,DNS,,,,17
FRA,7872,Philippe Noclain,Jean-Pierre Noclain,,RET,16,15,DNS,,,,18
GER,7597,Detlef Ihmels,Barbara Deldenburger,,18,17,DNC,DNS,,,,19
GER,7785,Mark Hustede,Olaf Pape,,17,DNC,RET,DNS,,,,20
NED,7,Arjen de Bruin,Michael Karstens,,RET,DNS,17,DNS,,,,21
FRA,5705,Philippe v.d. Steen,Bernard v.d. Steen,,RET,RET,IS,DNS,,,,22
GER,7781,Andi Thomsen,Reinhard Schultz,,DNC,DNC,DNC,DNC,,,,23
GER,7818,Heinz Balters,Urs Wihlfahrt,,DNC,DNC,DNC,DNC,,,,23
