Country,Boat NO,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
SWE,8211,Krister Bergström,Per-Anders Hallberg,GKSS,2,2,2,3,1,2,12.0,1
DEN,7956,Jörgen Schönherr,Anders Kaempe,,1,5,7,4,2,1,21.0,2
AUS,7938,Neil Long,Les Evans,RMYC,5,1,4,2,4,8,29.0,3
SWE,8232,Ebbe Rosén,Lars Stugemo,KSSS,4,DNF,3,1,8,4,35.7 ,4
SWE,7343,Karl-Erik Nilsson,Frank Bach,GKSS,DNF,8,1,5,3,5,39.7,5
SWE,8116,Björn Fagerström,Johan Wadmark,GKSS,3,3,5,11,5,12,48.4,6
SWE,8033,Anders Petersson,Anders Karlsson,HKK,11,4,6,9,15,7,64.7,7
DEN,8228,Jacob Bojsen-Möller,Poul Strange,,7,12,DNF,8,9,3,65.7,8
DEN,8056,Mikkel Storgaard,Anders Frimodt-Møller,,10,6,11,16,6,6,68.1,9
DEN,8210,Reinhold,Jens Langendorff,,8,9,10,12,12,DNF,81.0,10
SWE,8222,Pelle Norberg,Claes Boman,BSS,12,7,14,17,10,11,84.0,11
AUS,8218,Duncan Matthew,Mike Carr,W.S.,9,10,8,13,14,14,84.0,12
SWE,8146,Kent Högberg,Gerry Högberg,GKSS,15,14,16,10,11,10,90.0,13
SWE,7453,Peter Andersson,Per-Eric Thörnström,SSVÄ,13,15,15,18,7,13,93.0,14
DEN,7820,Jensen,Fauschau,VKS,DNF,16,13,19,13,9,100.0,15
SWE,7540,Yngve Gustafsson,Mats Gransell,HKK,6,11,DNF,7,PMS,PMS,103.7,16
SWE,7716,Martin Dubois,Robert Dubois,KSSS,14,13,17,14,DNF,DNC,113.0,17
SWE,7591,Peter Stenquist,Johan Stenquist,GKSS,DNF,DNS,12,15,16,16,114.0,18
SWE,7471,Magnus Aldén,Staffan Sundeling,KSSS,17,17,18,21,17,17,116.0,19
SWE,7655,Jan Bergström,Bengt Zackrisson,GKSS,DNF,DNS,9,6,PMS,PMS,119.7,20
SWE,7296,Per Engdahl,Bohlin,SBS,DNF,18,19,22,18,15,122.0,21
SWE,6143,Örjan Wesslén,Matthias Wesslén,UKF,16,19,20,20,19,PMS,124.0,22
SWE,7160,Helander,Mårten Forsbäck,BIFS,DNF,DNS,21,23,20,DNC,144.0,23
SWE,1*,Björn Camitz,Ulf Camitz,,DNC,DNC,DNC,DNC,DNC,DNC,155.0,24
