Nation,Sail No.,Helmsman,Crew,Country,No. 1,No. 2,No. 3,No. 4,No. 5,No. 6,Points,Points,Position
SWE,8211,Krister Bergstrom,Per Anders Hallberg,Sweden,3,0,3,8,11.7,5.7,31.4,19.7,1
GBR,8050,Peter Colclough,Phil Brown,United Kingdom,5.7,5.7,5.7,3,8,13,41.1,28.1,2
USA,8016,Bruce Edwards,David Shelton,U.S.A.,8,49,22,0,10,22,111,62,3
DEN,7956,Jorgen Schonherr,Anders Kaempe,Denmark,0,10,29,25,5.7,31,100.7,69.7,4
USA,8013,Mike Punnett,Scot Ikle,U.S.A.,95,14,11.7,16,0,28,164.7,69.7,5
GBR,8242,Mark Upton-Brown,Pete Bishop,United Kingdom,11.7,17,15,44,3,26,116.7,72.7,6
AUS,8094,Terry Kyrwood,Charles Spence,Australia,24,16,8,26,19,8,101,75,7
AUS,7481,Dean Blatchford,Steve Kay,Australia,26,3,36,17,22,11.7,115.7,79.7,8
SWE,8232,Ebbe Rosen,Lars Stugemo,Sweden,22,13,0,32,34,15,116,82,9
DEN,8108,Jorgen Holm,Finn Jensen,Denmark,31,11.7,10,40,15,16,123.7,83.7,10
DEN,8030,Bo Petersen,Soren Storm,Denmark,15,53,16,39,14,0,137,84,11
GER,8032,Jorn Erdmann,Burkhard Vierth,Germany,30,50,18,5.7,16,17,136.7,86.7,12
USA,7875,Jeff Miller,Bruce Heckman,U.S.A.,23,8,26,22,47,10,136,89,13
FRA,8246,Phillipe Boite,J. L. Muzellec,France,10,18,24,13,26,24,115,89,14
DEN,8031,Lars Christensen,Jan Feddersen,Denmark,16,22,23,14,21,4700,143,96,15
USA,7201,Howard Hamlin,Don Smith,U.S.A.,13,25,19,24,37,20,138,101,16
FIN,8229,Hannu Merikallio,Tom Lindstrom,Finland,27,29,13,11.7,23,27,130,101.7,17
SWE,7343,Kalle Nilsson,Frank Bach,Sweden,14,24,21,28,95,18,200,105,18
USA,8084,Jim Maloney,Bob Sutton,U.S.A.,18,34,17,15,23,43,150,107,19
GBR,7852,Chris Haworth,Nigel Appleton,United Kingdom,29,26,25,18,27,14,139,110,20
AUS,8035,Stephen McConaghy,Andrew McConaghy,Australia,34,27,14,10,35,42,162,120,21
USA,7611,Jim Wondolleck,Jay Kunel,U.S.A.,25,20,30,19,31,34,159,125,22
GBR,8159,Clive Robinson,John Ironmonger,United Kingdom,21,40,53,38,13,19,184,131,23
GBR,8240,Ian Barker,M. Flint,United Kingdom,19,15,37,36,30,95,232,137,24
GBR,8167,Graham Bailey,Bill Masterman,United Kingdom,17,30,28,47,28,36,186,139,25
AUS,7938,Neil Long,Les Evans,Australia,95,41,33,23,44,3,239,144,26
FRA,8268,Jean Marc Paquotte,Serge Ehrhardt,France,39,23,32,27,40,35,196,156,27
GBR,8139,David Booth,Peter Milburn,United Kingdom,55,19,43,21,42,32,212,157,28
FRA,8133,Alain Boite,Phillipe Hemment,France,32,45,34,60,18,33,222,162,29
FIN,7935,Kimmo Lautanen,Jarkko Niemi,Finland,28,37,42,20,43,40,210,167,30
SWE,8116,Bjorn Fagerstrom,Johan Wadmark,Sweden,43,39,31,31,41,25,210,167,31
GBR,8209,lan Fryett,Giles Fryett,United Kingdom,37,47,39,30,20,45,218,171,32
GER,8253,Gunter Froese,Carl Riere,Germany,52,21,47,29,38,39,226,174,33
GBR,8001,Martin Spence,Jonathan Ward,United Kingdom,42,32,20,37,58,54,243,185,34
AUS,8218,Duncan Matthew,Mike Carr,Australia,45,28,44,35,33,48,233,185,35
SWE,8033,Anders Petersson,Lars Edstrom,Sweden,36,95,55,34,48,21,289,194,36
FIN,8054,Matti Pentti,Otto Toivanen,Finland,48,38,52,41,50,23,252,200,37
GBR,8021,Rob Napier,Keith Summersgill,United Kingdom,53,44,35,43,29,65,269,204,38
GBR,8245,Dave Peacock,Steve Peters,United Kingdom,46,42,40,95,46,30,299,204,39
GBR,8208,Tim Fells,Jonathan Clark,United Kingdom,35,71,38,33,49,50,276,205,40
GBR,8216,Peter White,Paul Young,United Kingdom,47,31,95,55,36,44,308,213,41
GBR,8129,Nick Martin,Rob Martin,United Kingdom,33,46,50,52,32,59,272,213,42
DEN,8056,Mikkel Storgaard,Anders Frimodtmoller,Denmark,37,33,45,54,55,51,275,220,43
USA,7318,Zack Leonard,Peter Alarie,U.S.A.,44,57,27,46,95,52,321,226,44
GBR,8244,Mike Holt,Nicholas Powell,United Kingdom,95,95,56,42,17,29,334,239,45
GBR,8080,John McLaren,Jack Edwards,United Kingdom,64,43,46,50,54,46,303,239,46
SWE,7540,Yngve Gustafsson,Mats Gransell,Sweden,59,55,60,48,25,56,303,243,47
USA,7096,Patrick Vincent,J. Livingstone,U.S.A.,58,35,95,49,59,61,357,262,48
FIN,8053,Petri Ebeling,Esko Aho,Finland,41,62,59,53,51,63,329,266,49
AUS,8095,Neil Harrison,William Finlay,Australia,73,36,62,56,45,70,342,269,50
GBR,8200,Steve France,Alan Bailey,United Kingdom,50,95,51,78,60,37,371,276,51
SUI,8196,Cedric Bart,Phillipe Jacot,Switzerland,65,60,61,71,56,38,351,280,52
GER,7781,Andreas Thomsen,Reinhard Schultz,Germany,60,48,49,62,61,66,346,280,53
FRA,8267,Francis Doerenbecher,Ivan Doerenbecher,France,54,72,54,51,66,55,352,280,54
GBR,8055,Vernon Rallston,Pete Sidell,United Kingdom,70,69,63,45,52,75,374,299,55
SUI,7960,Rene Betschen,Ueli Marti,Switzerland,51,83,78,59,57,58,386,303,56
USA,7874,Bob Wondolleck,John Gilmour,U.S.A.,20,59,68,67,95,95,404,309,57
GBR,8052,Alan Henderson,Alistair Barrie,United Kingdom,95,63,58,65,75,49,405,310,58
GBR,8213,Mike Lawton,Bill Barker,United Kingdom,57,51,73,72,73,57,383,310,59
KEN,8248,John Trundell,A. M. Ronsky,E. Africa/Kenya,68,61,95,57,65,60,406,311,60
FRA,7933,Marcel Buffet,Christian Lippi,France,69,70,41,66,70,95,411,316,61
GBR,8049,Neil Willmot,Paul Willmot,United Kingdom,95,52,95,95,39,41,417,322,62
GBR,8269,Paul Towers,Nigel Dixon,United Kingdom,72,58,65,61,68,83,407,324,63
GER,7996,Jens Hartwig,Till Reckert,Germany,71,79,48,95,74,53,420,325,64
FRA,7740,Thierry Rattier,Sylvie Rattier,France,63,74,66,64,77,64,408,331,65
SWE,8022,Olle Wenrup,Pelle Ek,Sweden,62,64,57,77,95,73,428,333,66
FRA,7734,Francis Macheboeuf,Fabrice Toupet,France,61,65,71,70,69,72,408,336,67
FRA,8111,Gilbert Vinches,J. Delvaux,France,56,75,95,74,64,68,432,337,68
GBR,8134,Steve Arkley,Dick Vivers,United Kingdom,67,95,82,69,53,69,435,340,69
FRA,7492,Robert Fossard,Bernard Peuch,France,76,82,75,73,62,67,435,353,70
GER,7778,Thomas Schmidt,Wolfgang Stuckl,Germany,75,54,79,76,85,80,449,364,71
GER,7451,Ewald Brzoska,Thomas Crammer,Germany,82,73,74,75,63,88,455,367,72
