Nation,Boat No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,Pts.,Pos.
USA,8083,Neal Fowler,Dave Dyson,,5,6,1,6,1,1,1,14,1
CAN,8264,Jeff Boyd,Martin ten Hove,,1,2,5,3,4,2,3,"14,75",2
USA,8191,Macy Nelson,Peter Alarie,,3,3,2,2,3,3,2,15,3
CAN,8263,"Alexander ""Ali"" Meller",Allan Johnson,,2,1,3,1,9,5,4,"15,5",4
USA,8013,Mike Punnett,Scott Iklé,,4,4,4,4,5,10,7,28,5
CAN,8439,Lewis,Harvey,,DNS,9,14,8,6,4,6,47,6
USA,8015,Jonathan Phillips,Monty Schumpert,,7,8,7,10,11,6,9,47,7
USA,8439,John Dohan,Bill Beardslee,,6,7,10,7,2,9,17,48,8
USA,8085,Rene de la Rie,Smith,,9,10,6,5,7,14,14,51,9
CAN,8442,Zani,Steve Yates,,12,5,11,13,16,7,5,53,10
