Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Netto,Place
USA,8013,Mike Punnett,Scott Iklé,,2,2,1,1,4,14,7,"30,5","15,5",1
USA,8446,Anne Henderson,Kris Henderson,,1,7,8,7,1,4,1,"28,25","20,25",2
USA,7150,Scott Smith,Derek Campbell,,3,1,9,6,5,1,6,"30,5","21,5",3
USA,6987,"Alexander ""Ali"" Meller",John Fry,WRSC,12,4,14,3,2,2,3,40,26,4
USA,7771,Howard Hamlin,Mike Martin,,7,3,2,5,7,12,4,40,28,5
CAN,7094,Philip Cragg,Guthrie,KYC,15,5,3,8,3,16,8,58,42,6
CAN,7111,Terry Thomas,Reynolds,KYC,9,8,4,11,13,7,10,62,49,7
CAN,7089,Lamont,Chaloner,KYC,10,13,7,9,DNC,9,2,73,50,8
CAN,7039,Robin Brown,Black,KYC,5,6,15,12,11,3,17,69,52,9
CAN,8192,Brook Hamilton,Harlan,KYC,8,9,10,2,12,21,16,78,57,10
CAN,7353,Wayne Brox,Ian Plumbley,KYC,DSQ,10,5,15,6,8,13,80,57,10
USA,7201,Kirk Gooding,Don Smith,,DSQ,15,13,4,16,10,5,86,63,12
CAN,7095,John Hayley,Adams,KYC,4,20,16,20,8,5,12,85,65,13
CAN,7959,Mondel,Per Jacobsen,WVYV,13,12,11,10,9,17,14,86,69,14
CAN,7775,Torrie,Hyslop,KYC,14,11,6,18,15,6,19,89,70,15
CAN,8*,Terry Neff,Bob Noyes,,6,16,18,14,14,20,11,99,79,16
CAN,7249,Trevor Owen,Terry Meade,,11,22,20,16,10,11,18,108,86,17
CAN,7607,Alan Walker,Dolhaine,KYC,16,14,17,17,20,15,15,114,94,18
CAN,7206,Peter Grimm,Fred Grimm,KYC,DSQ,18,22,13,17,13,21,127,104,19T
CAN,7610,David Smart,Claxton,KYC,17,19,12,19,18,10,20,124,104,19T
CAN,7100,Andrew Crocker,Arbry,,16,17,21,21,19,22,9,127,105,21
CAN,7458,Dale Phillips,Julie Giguere,,DSQ,21,19,22,DNC,18,22,148,125,22
