Nation,Number,DRIVER,CREW,Club,Race 1,Race 2,Race 3,Race 4,Race 5,POINTS,PLACE
USA,7771,Pete Melvin,Mike Martin,,1,1,1,1,1,"3,75",1
USA,8266,Howard Hamlin,Mike Jankowski,,2,4,8,4,5,23,2
USA,8084,Bruce Edwards,Dave Shelton,,3,2,7,10,3,25,3
USA,8497,Mike Holt,Brad Cole,,6,11,10,2,2,31,4
USA,7875,Jeff Miller,Bruce Heckman,,4,3,2,19,10,38,5
USA,8013,Mike Punnett,Don Smith,,7,10,9,9,4,39,6
USA,8017,Tom Poore,Tim Park,,17,6,4,5,8,40,7
USA,0,Craig,Wayne Brox,,11,8,5,3,18,45,8
USA,0,Wondoleck,Kuncl,,14,7,11,6,14,52,9
USA,0,Thompson,Koblenz,,9,13,12,7,13,54,10
USA,0,Brown,Liston,,16,19,3,12,7,57,11
CAN,0,Brook Hamilton,Harland,,12,9,13,15,9,58,12
USA,0,Bartz,Leib,,15,5,14,8,17,59,13
USA,0,Hayley,Burnard,,10,14,17,13,6,60,14
USA,0,Tara,Cook,,5,15,20,11,19,70,15
USA,0,Smith,Perez,,20,16,6,18,11,71,16
USA,0,Robinson,Anderes,,13,18,15,16,15,77,17
USA,0,Gooding,Ives,,8,20,16,17,20,81,18
USA,0,Andreasen,Hopkins,,19,12,21,20,12,84,19
USA,0,Klein,Pauling,,18,21,18,14,16,87,20
USA,0,Gilmour,Gilmour,,21,17,19,21,25,103,21
USA,0,Weaver,Clemp,,22,22,22,22,21,109,22
USA,0,Rettinger,Rettinger,,25,25,23,23,22,118,23
USA,0,Craig,Craig,,25,25,25,25,25,125,24
