Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Place
AUS,8619,Chris Nicholson,Darren Nicholson,,2,1,1,4,9,7,24,1
AUS,8559,Sandy Higgins,D.Wilsdon,,10,4,5,5,1,4,29,2
AUS,8548,Hugh Stodart,A.Baker,,3,8,2,2,7,10,32,3
AUS,8617,Greg Serant,Kane Sinclair,,1,74,4,8,4,8,99,4
AUS,8523,Dean Blatchford,Jayson Field,,4,2,12,12,2,14,46,5
AUS,8523,Peter Hewson,T.Blatchford,,15,3,9,7,12,1,47,6
DEN,8498,Jörgen Schoenherr,C. Spence,,25,13,7,1,20,6,72,7
AUS,8557,Neil Long,Dean Williams,,5,28,18,10,10,3,74,8
,,,,,,,,,,,,9
,,,,,,,,,,,,10
,,,,,,,,,,,,11
,,,,,,,,,,,,12
,,,,,,,,,,,,13
,,,,,,,,,,,,14
,,,,,,,,,,,,15
,,,,,,,,,,,,16
,,,,,,,,,,,,17
,,,,,,,,,,,,18
,,,,,,,,,,,,19
,,,,,,,,,,,,20
,,,,,,,,,,,,21
,,,,,,,,,,,,22
,,,,,,,,,,,,23
,,,,,,,,,,,,24
,,,,,,,,,,,,25
,,,,,,,,,,,,26
,,,,,,,,,,,,27
,,,,,,,,,,,,28
,,,,,,,,,,,,29
,,,,,,,,,,,,30
,,,,,,,,,,,,31
,,,,,,,,,,,,32
,,,,,,,,,,,,33
,,,,,,,,,,,,34
,,,,,,,,,,,,35
,,,,,,,,,,,,36
,,,,,,,,,,,,37
,,,,,,,,,,,,38
,,,,,,,,,,,,39
,,,,,,,,,,,,40
,,,,,,,,,,,,41
,,,,,,,,,,,,42
,,,,,,,,,,,,43
,,,,,,,,,,,,44
,,,,,,,,,,,,45
,,,,,,,,,,,,46
,,,,,,,,,,,,47
,,,,,,,,,,,,48
,,,,,,,,,,,,49
,,,,,,,,,,,,50
,,,,,,,,,,,,51
,,,,,,,,,,,,52
,,,,,,,,,,,,53
,,,,,,,,,,,,54
,,,,,,,,,,,,55
,,,,,,,,,,,,56
,,,,,,,,,,,,57
,,,,,,,,,,,,58
,,,,,,,,,,,,59
,,,,,,,,,,,,60
,,,,,,,,,,,,61
,,,,,,,,,,,,62
,,,,,,,,,,,,63
,,,,,,,,,,,,64
,,,,,,,,,,,,65
,,,,,,,,,,,,66
,,,,,,,,,,,,67
,,,,,,,,,,,,68
,,,,,,,,,,,,69
,,,,,,,,,,,,70
,,,,,,,,,,,,71
,,,,,,,,,,,,72
,,,,,,,,,,,,73
,,,,,,,,,,,,74
,,,,,,,,,,,,75
,,,,,,,,,,,,76
,,,,,,,,,,,,77
,,,,,,,,,,,,78
,,,,,,,,,,,,79
,,,,,,,,,,,,80
