,505 World Championship,,,club,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,Total,Drop,After,Place
GBR,8521,Paul Towers,Dan Johnson,,16,0,5.7,10,10,13,0,54.7,16,38.7,1
USA,8266,Howard Hamlin,Cameron Lewis,,3,8,0,27,13,14,8,73,27,46,2
GBR,8510,Ian Barker,Daniel Cripps,,18,10,8,0,8,19,17,80,19,61,3
AUS,8619,Darren Nicholson,Chris Nicholson,,11.7,5.7,10,11.7,3,26,42,110.1,42,68.1,4
USA,7771,Jeff Miller,Mike Martin,,0,29,3,26,20,0,20,98,29,69,5
AUS,8548,Hugh Stoddart,A. Baker,,21,3,18,3,28,8,56,137,56,81,6
GBR,8481,Jeremy Robinson,Bill Masterman,,14,15,21,8,15,17,22,112,22,90,7
GBR,8552,Mark Upton-Brown,Nigel Vooght,,19,25,13,28,19,11.7,5.7,121.4,28,93.4,8
AUS,8559,D. Wilsdon,Sandy Higgins,,26,16,15,17,30,10,13,127,30,97,9
AUS,8617,Kane Sinclair,Greg Searant,,8,17,22,24,18,16,27,132,27,105,10
AUS,8395,P. Marsh,Wayne Soulsby,,30,33,31,15,5.7,15,11.7,141.4,33,108.4,11
AUS,8605,Simon Burt,Andrew Hewson,,15,27,17,13,23,28,14,137,28,109,12
SWE,8232,Ebbe Rosén,Olle Wenrup,,5.7,103,11.7,23,43,20,15,221.4,103,118.4,13
SWE,7343,Kalle Nilsson,Mikael Ahrbom,,29,14,50,45,31,5.7,3,177.7,50,127.7,14
SWE,8551,Dietrich Scheder-Brieschin,Johan Arvedson,,25,24,16,16,39,18,32,170,39,131,15
SWE,8475,Krister Bergström,M. Westerdahl,,10,11.7,103,5.7,0,3,103,236.4,103,133.4,16
AUS,8523,Todd Blatchford,Peter Hewson,,24,30,14,38,24,21,23,174,38,136,17
AUS,8606,Geoff Lange,Norman Rydge,,17,26,24,21,14,35,103,240,103,137,18
GBR,8416,Ian Montague,Geoff Kimber,,27,31,26,18,17,25,26,170,31,139,19
AUS,8618,Jayson Field,Dean Blatchford,,36,18,20,22,25,27,33,181,36,145,20
DEN,8476,Jan Saugmann,Morten Ramsbæk,,23,103,28,29,11.7,22,44,260.7,103,157.7,21
AUS,8499,Malcolm ‚Pip’ Pearson,Malcolm Higgins,,13,28,23,30,40,103,30,267,103,164,22
AUS,8524,P. Meehan,Leslie Nathanson,,52,13,37,19,27,51,18,217,52,165,23
DEN,8498,J. Schoenherr,C. Spence,,20,23,37,36,21,30,36,203,37,166,24
DEN,8579,Tom Bøjland,P. Chritiani,,35,32,45,14,16,36,43,221,45,176,25
AUS,8585,Carter Jackson,M. Page,,31,21,29,31,36,29,35,212,36,176,26
USA,7200,Alexander Meller,Mike Mills,,103,38,34,20,44,32,25,296,103,193,27
AUS,8454,J. Pirret,B. Whitbread,,45,20,40,34,29,44,28,240,45,195,28
AUS,8274,Karl Brown,Robin Brown,,34,46,46,42,34,37,10,249,46,203,29
AUS,7982,Adrian Finglass,S. Illidge,,28,22,103,103,22,23,19,320,103,217,30
GER,8608,Günter Peters,B. Vierth,,51,40,30,46,26,31,47,271,51,220,31
AUS,8399,Frank Karlovecz,Michael Page,,22,52,43,37,37,40,41,272,52,220,32
AUS,8588,Simon Gorman,Brian Hillier,,43,36,27,50,103,24,46,329,103,226,33
AUS,8626,Iain Murray,A. Murray,,39,43,19,51,56,46,34,288,56,232,34
AUS,8589,Richard Machin,Phillip Grey,,32,34,103,25,38,59,51,342,103,239,35
AUS,8603,M. Owen,Ian Dunn,,33,47,49,35,52,34,60,310,60,250,36
AUS,8041,Wayne Boyd,D. Colebatch,,38,45,53,40,51,38,39,304,53,251,37
AUS,8272,D. Hart,David Alexander,,69,29,36,58,103,33,29,357,103,254,38
GBR,8507,Vernon Ralston,Simon Spratt,,46,35,35,49,49,42,103,359,103,256,39
AUS,8338,S. Venes,B. Kelly,,83,44,42,39,48,52,40,348,83,265,40
