,,Steuermann/-frau,Vorschoter/-in,Club,,PunkteRL,Platz
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,,,1
GER,8575,Joachim Hellmich,Christian Paschen,,,,2
GER,8575,Sabine Meyer,Rolf Meyer,NRV,,,3
GER,,Carsten Engel,Tobias Neumeyer,PSVK,,,4
GER,,Jens Hufnagel,Jens Pohl,SCSTM,,,5
GER,,Ditmar Kreutzmann,Arnd Howar,,,,6
GER,,Dirk Kuhnhenn,Achim Funk,,,,7
GER,,Dirk Hänsgen,Frank Rupprich,SVPb,,,8
GER,,Helmut Madeheim,D. Schreiber,WSC,,,9
GER,,Oliver Eggenstein,Anke Niggemeier,SKMD,,,10
GER,,Thomas Wellner,Michael Patz,RSCWW,,,11
GER,,Anja Ludwig,Ralph Ludwig,SVPB,,,12
GER,,Detlef Ihmels,Barbara Wand,SVPb,,,13
GER,,Heinz Ridder,Michael Spring,,,,14
GER,,Oliver Haupt,Markus Hoppe,WYD,,,15
