,,Steuermann/-frau,Vorschoter/-in,Club,,Punkte,Platz
GER,,Jockel Oetken,Stephan Oetken,FYC,,,1
GER,,Diethardt Freye,Cord-Henrich Lefhalm,SVSS,,,2
GER,8376,Volker Niedik,Stefan Heising,,,,3
GER,,Bernd Rasenack,Axel Oetken,,,,4
GER,,Jörg Thumann,,TuSY,,,5
GER,8517,Felix Ismar,Arnd Howar,WYD,,,6
GER,8571,Karl Heinz Hilgers,Wolfgang Bogacki,DSCU,,,7
GER,,Armin Eismann,Tino Käcks,SCA,,,8
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,,,9
GER,,Hans-Georg Joost,Ulrich Joost,YCRM,,,10
GER,,Uwe Lätsch,C. Büscher,,,,11
GER,,Ulrich Müller-Menzel,Michael Kieselow,WSRM,,,12
GER,,Dirk Hänsgen,Frank Rupprich,SVPB,,,13
GER,,Barbara Jesse,Heino Sahling,SGB,,,14
GER,,Detlef Ihmels,Barbara Wand,SVPB,,,15
GER,,Michael Köritz,Carsten Zippel,WYCA,,,16
GER,,Christian Koch,Justus Rauno,KYC,,,17
GER,,Andre Tirre,Jens Steinert,YCZ,,,18
GER,,Christian Kühle,Benjamin Kirchen,,,,19
GER,,Heiko Bühring,Wolfgang Thieschäfer,YCZ,,,20
GER,,Klaus Rieck,Sven Friederich,BSV,,,21
GER,,Antje Paulsen,Björn Schaar,BSV,,,22
GER,,D. Schreiber,A. Schwalk,PBYC,,,23
GER,,N. Lange,J. Kurlbaum,SCH,,,24
