Nat,Båtnr,Rorsman-------,Gast-----------,Klubb,1,2,3,4,5,6,7,SUM,#
SWE,8655,Krister Bergström,Thomas Moss,GKSS,2,3,1,4,1,5,3,14,1
SWE,8232,Ebbe Rosén,Olle Wenrup,MKS,1,2,3,1,DSQ,4,6,16,2
DEN,8566,Hans-Jörgen Riber,Adam Malling,SKS,3,4,4,3,3,2,2,17,3
SWE,7343,Kalle Nilsson,Frank Bach,GKSS,6,2,5,2,2,8,4,21,4
DEN,8622,Tom Böjland,Anders Friis,SES,5,5,DNS,5,5,1,1,22,5
GER,8669,Tim Böger,Philip Cristiani,HSC,4,6,2,7,4,7,5,28,6
SWE,8619,Mikael Ahrbom,Claes Thurell,KSSS,9,11,8,6,7,3,DSQ,44,7
SWE,7956,Fritjof Sunesson,Håkan Larsson,DBS,10,10,9,9,6,6,8,48,8
SWE,8427,Jan Eriksson,Kalle Byrenius,NSS,7,8,6,8,9,11,DSQ,49,9
GER,8550,Dietrich Scheder,Johan Arvedson,WSCW,8,7,7,PMS,8,9,DNF,54,10
DEN,8561,Peter Möller, ,NSK,11,9,10,10,10,10,7,56,11
SWE,6718,Jan Thews,Kalle Thews,TSS,DNS,DNS,12,11,12,12,9,71,12
SWE,6143,Örjan Wesslén,Matthias Wesslén,ESK,12,12,11,12,11,13,DSQ,71,13
