Country,Sail Nb.,Name,,,Cavalaire,Riva,Kalovig,Nieuwpoort,Hayling Island,Cavalaire Points,Riva Points,Kalovig Points,Nieuwpoort Points,Hayling Island Points,,,,,,
GBR,8552,Upton-Brown Mark,,,4,1,,6,1,77,50,0,45,50,,,4,,177,1
FRA,8402,Boite Philippe,,,1,,,4,3,80,0,0,47,48,,,3,,175,2
GBR,8677,Pinnell Ian,,,10,,,1,2,71,0,0,50,49,,,3,,170,3
GER,8623,Bohm Stefan,,,9,6,,2,,72,45,0,49,0,,,3,,166,4
GER,8634,Thumann Jörg,,,15,,17,18,,66,0,34,33,0,,,3,,133,5
GER,8460,Goult Martin,,,18,,,23,14,63,0,0,28,37,,,3,,128,6
GER,8567,Detmold Jorg,,,33,21,12,15,,48,30,39,36,0,,,4,,123,7
GER,8542,Swift Tom,,,5,,6,,,76,0,45,0,0,,,2,,121,8
GER,8663,Plessmann Ulf,,,7,4,,,,74,47,0,0,0,,,2,,121,9
GBR,8495,Peacock David,,,6,,,,13,75,0,0,0,38,,,2,,113,10
GBR,8592,Lovesy Paul,,,,10,,10,22,0,41,0,41,29,,,3,,111,11
FRA,8684,Gallo Pierre Jean,,,12,,,,10,69,0,0,0,41,,,2,,110,12
DEN,8620,Saugmann Jan,,,21,,2,,,60,0,49,0,0,,,2,,109,13
SUI,8426,Pluss Marcel,,,16,14,,,,65,37,0,0,0,,,2,,102,14
DEN,8675,Fredsted Rasmus,,,19,,14,,,62,0,37,0,0,,,2,,99,15
GER,8642,Schollmayer Stefan,,,38,17,,33,,43,34,0,18,0,,,3,,95,16
SUI,8459,Stolz Caroline,,,20,18,,,,61,33,0,0,0,,,2,,94,17
GER,8686,Völckner Nicolai,,,62,13,,16,,19,38,0,35,0,,,3,,92,18
GER,8649,Roos Ronald,,,,3,,9,,0,48,0,42,0,,,2,,90,19
FRA,8431,Druart Hervé,,,29,,,13,,52,0,0,38,0,,,2,,90,20
GER,8392,Seikel Martin,,,22,20,,,,59,31,0,0,0,,,2,,90,21
GBR,8556,Tew Richard,,,,,,5,8,0,0,0,46,43,,,2,,89,22
GER,8539,Ziems Olivier,,,28,,,,15,53,0,0,0,36,,,2,,89,23
GER,8590,Köchlin Stefan,,,,5,,,11,0,46,0,0,40,,,2,,86,24
FRA,8455,Buffet Marcel,,,25,,,21,,56,0,0,30,0,,,2,,86,25
BEL,8463,Van Hemeldonck Emie,,,26,,,22,,55,0,0,29,0,,,2,,84,26
DEN,8656,Moller Jan,,,2,,,,,79,0,0,0,0,,,1,,79,27
GER,8652,Dorr Sebastian,,,42,11,,,,39,40,0,0,0,,,2,,79,28
GBR,8640,Vernon Ralston,,,3,,,,,78,0,0,0,0,,,1,,78,29
GER,7970,Kai Löblein,,,30,25,,,,51,26,0,0,0,,,2,,77,30
GER,8575,Hellmich Joachim,,,8,,,,,73,0,0,0,0,,,1,,73,31
DEN,8405,Natorp Klaus,,,11,,,,,70,0,0,0,0,,,1,,70,32
GBR,8568,Diebitsch Christian,,,,,,14,18,0,0,0,37,33,,,2,,70,33
GER,8388,Kellner Christian,,,13,,,,,68,0,0,0,0,,,1,,68,34
FRA,8382,Petit Eric,,,14,,,,,67,0,0,0,0,,,1,,67,35
GER,8671,Muhlbauer Markus,,,,19,,17,,0,32,0,34,0,,,2,,66,36
SUI,8016,De Serjat J.-Francois,,,17,,,,,64,0,0,0,0,,,1,,64,37
SWE,8427,Lindvall Jakob,,,,,23,,17,0,0,28,0,34,,,2,,62,38
GER,8609,Mullejans Christian,,,,,22,,21,0,0,29,0,30,,,2,,59,39
GER,8661,Freye Piethardt,,,23,,,,,58,0,0,0,0,,,1,,58,40
GER,8519,Wisolek Robert,,,48,26,,,,33,25,0,0,0,,,2,,58,41
FRA,8564,Hay Laurent,,,24,,,,,57,0,0,0,0,,,1,,57,42
FRA,8348,Bochu Jacques,,,52,,,25,,29,0,0,26,0,,,2,,55,43
SUI,8569,Betschen René,,,27,,,,,54,0,0,0,0,,,1,,54,44
FRA,7941,Dousselin Véronique,,,49,,,29,,32,0,0,22,0,,,2,,54,45
SWE,8655,Bergström Krister,,,,,1,,,0,0,50,0,0,,,1,,50,46
GER,8522,Engel Carsten,,,31,,,,,50,0,0,0,0,,,1,,50,47
DEN,8581,Andersen Jon,,,,32,20,,,0,19,31,0,0,,,2,,50,48
GER,8517,Ismar Felix,,,55,,,27,,26,0,0,24,0,,,2,,50,49
DEN,8656,Schoenherr Jorgen,,,,2,,,,0,49,0,0,0,,,1,,49,50
GER,8671,Muehlbaner Martins,,,32,,,,,49,0,0,0,0,,,1,,49,51
GBR,8605,Hunt Jim,,,,,,3,,0,0,0,48,0,,,1,,48,52
DEN,8622,Bojland Tom,,,,,3,,,0,0,48,0,0,,,1,,48,53
GBR,8678,Berry Jim,,,64,,,,20,17,0,0,0,31,,,2,,48,54
GBR,8672,Holmes Mike,,,,,,,4,0,0,0,0,47,,,1,,47,55
GER,8669,Boger Tim,,,,,4,,,0,0,47,0,0,,,1,,47,56
FRA,8400,Jouany Marc,,,34,,,,,47,0,0,0,0,,,1,,47,57
GBR,8429,Napier Rob,,,,,,,5,0,0,0,0,46,,,1,,46,58
GER,8563,Mathias Jetschke,,,,,5,,,0,0,46,0,0,,,1,,46,59
GER,8528,Braun Falico,,,35,,,,,46,0,0,0,0,,,1,,46,60
GBR,8381,Adams Steve,,,,,,,6,0,0,0,0,45,,,1,,45,61
GER,8580,Schafer Christian,,,36,,,,,45,0,0,0,0,,,1,,45,62
FRA,8362,Boite Alain,,,,,,7,,0,0,0,44,0,,,1,,44,63
GBR,7018,Holt Mike,,,,,,,7,0,0,0,0,44,,,1,,44,64
GER,8570,Rix Hans-Heinrich,,,,,7,,,0,0,44,0,0,,,1,,44,65
GER,8656,Rachuba Roger,,,,7,,,,0,44,0,0,0,,,1,,44,66
FRA,8352,Noclain Jean-Pierre,,,37,,,,,44,0,0,0,0,,,1,,44,67
