Nation,Sail-No.,Helm,Crew,Club/Country,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,,Place
GBR,8677,Ian Pinnell,Bill Masterman,,1,1,1,1,5,DNS,,1
GER,8623,Stefan Böhm,Gerald Roos,SCV,4,8,2,3,2,4,,2
GBR,8605,Jim Hunt,?,,2,2,4,6,DNS,2,,3
FRA,8402,Philippe Boite,Jean Muzellec,,6,5,7,4,3,1,,4
GBR,8556,Richard Tew,Dan Johnson,,5,3,6,2,DNS,8,,5
GBR,8552,Mark Upton-Brown,Ian Mitchell,,9,4,3,5,7,11,,6
FRA,8362,Alain Boite,Maxime le Coff,,15,7,8,12,1,6,,7
GBR,8635,Terry Scutcher,Simon J. Lake,,3,6,5,11,14,DNS,,8
GER,8649,Ronald Roos,Gerd Linnemann,SVWu,8,11,12,7,11,7,,9
GBR,8592,Paul Lovesy,Andy Williams,,10,10,22,8,19,3,,10
FRA,8554,May Lauren,Franck Tudal,,13,18,10,9,4,DNS,,11
BEL,8536,Nendonck Mey,Chris Lehouck,,11,15,30,10,9,14,,12
FRA,8431,Herve Druart,Thomas Boudier,,14,20,13,14,15,5,,13
GBR,8568,Christian Dlebitsch,Staffan Stromberg,,22,19,11,15,13,10,,14
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,19,26,15,22,8,9,,15
GER,8665,Nicolai Völckner,Lars Dehne,HSC,20,14,9,13,18,DNS,,16
GER,8671,Markus Mühlbauer,Angela Stenger,DTYC,16,16,18,26,10,15,,17
GER,8634,Jörg Thumann,Franco Weichel,TuSJ,18,22,24,18,6,DNS,,18
FRA,8352,Philippe Noclain,Jean Pierre Noclain,,17,23,20,25,20,13,,19
GER,8633,Frieder Achterberg,Andreas Achterberg,DTYC,7,21,14,DNS,DNS,12,,20
FRA,8455,Marcel Buffet,Regis Vjateur,,23,17,17,19,25,DNS,,21
BEL,8463,Emiel Van Hemeldonck,Jan Van Hemeldonck,,24,30,25,17,12,DNS,,22
GBR,8460,Martin Goult,Gordon Russel,,12,9,23,24,DNS,DNS,,23
FRA,8683,Gerard Tilly,Xaviar Tilly,,33,24,27,21,17,DNS,,24
FRA,8348,Jacques Bochu,Christoph Bochu,,25,25,28,23,22,DNS,,25
GER,8651,Joachim Oetken,Stephan Oetken,FYC,21,28,21,16,DNS,DNS,,26
GER,8517,Felix Ismar,Arnd Howar,WYD,32,27,29,20,21,DNS,,27
FRA,8459,Jerome Terrasson,Charles Briffotevaux,,30,29,19,DNS,16,DNS,,28
FRA,7941,Veronique Dousselin,Jean Pierre Peter,,31,32,26,27,24,DNS,,29
FRA,8002,Dominique Rouanne,Jean-Pierre Blache,,28,34,31,DNS,23,DNS,,30
GBR,8510,Martin Wedge,Peter Burwood,,27,12,DNS,DNS,DNS,DNS,,31
GBR,8678,Tim Merry,Dave Spragg,,26,13,,DNS,DNS,DNS,,32
GER,8642,Stefan Schollmayer,Francesco Sanguino,SCMSP,DNS,DNS,16,DNS,DNS,DNS,,33
BEL,8106,Benoit Raucent,Philippe Chevalier,,DNS,DNS,32,28,DNS,DNS,,34
FRA,8509,Pierre Muh,Dominique Reraudren,,29,33,DNS,DNS,DNS,DNS,,35
FRA,8447,Jean-Guy Puissant,Alain Chraier,,34,31,DNS,DNS,DNS,DNS,,36
FRA,275*,Jean Marc Noclain,Roger Chabaud,,DNS,35,DNS,DNS,DNS,DNS,,37
FRA,8301,Bernard Blondy,Patrick Datvier,,DNS,36,DNS,DNS,DNS,DNS,,38
BEL,8350,Bruno Vanikaut,F. Beede Genoots,,DNS,37,DNS,DNS,DNS,DNS,,39
