Nation,Boat NO,Helm,Crew,Cub,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Points,Place
BEL,8536,Meynendonckx,Lehouck,,1,1,1,4,13*,2,22,9,1
FRA,8684,Gallo,Toupet,,4,3,2,1,2,9*,21,12,2
GER,8649,Ronald Roos,Kirsten Roos,,2,8*,3,7,3,1,24,16,3
BEL,8553,Gorremans,De Froidmont,,7,2,5,5,12*,4,35,23,4
FRA,8449,Lucienne,Bonnet,,5,5,8*,8,1,6,33,25,5
FRA,8541,Doerenbecher,Doerenbecher,,17*,7,10,2,10,6,52,35,6
FRA,8459,Terrasson,Briffoteaux,,8,12*,6,9,6,7,48,36,7
FRA,8321,Michel Rimbert,Antoine Rimbert,,13,10,7,40 DNC*,5,3,78,38,8
FRA,8695,Puissant,Seguelas,,15,17*,12,6,4,11,65,48,9
FRA,8484,Blanchard,Blattner,,14,6,11,12,17*,5,65,48,10
FRA,8509,Pierre Muh,Dominique Reraudren,,9,13,16,3,9,20*,70,50,11
GER,8528,Falko Braun,Matthias Hartmann,SCR,11,14*,9,10,11,12,67,53,12
,,,,,,,,,,,,,13
,,,,,,,,,,,,,14
,,,,,,,,,,,,,15
,,,,,,,,,,,,,16
,,,,,,,,,,,,,17
,,,,,,,,,,,,,18
,,,,,,,,,,,,,19
,,,,,,,,,,,,,20
,,,,,,,,,,,,,21
,,,,,,,,,,,,,22
,,,,,,,,,,,,,23
,,,,,,,,,,,,,24
,,,,,,,,,,,,,25
,,,,,,,,,,,,,26
,,,,,,,,,,,,,27
,,,,,,,,,,,,,28
,,,,,,,,,,,,,29
,,,,,,,,,,,,,30
,,,,,,,,,,,,,31
,,,,,,,,,,,,,32
,,,,,,,,,,,,,33
,,,,,,,,,,,,,34
,,,,,,,,,,,,,35
,,,,,,,,,,,,,36
,,,,,,,,,,,,,37
,,,,,,,,,,,,,38
,,,,,,,,,,,,,39
