Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Boat Name,Points,Place
CAN,8442,M. Hoffman,,BYC,4,2,1,Fine Pickle,6.75,1
CAN,8264,J. Boyd,,KYC,5,1,2,,7.75,2
CAN,6910,J. Bryant,,NSC,3,4,3,Toil & Trouble,10,3
CAN,7612,P. Estabrooks,,BYC,1,7,5,SNA II,12.75,4
CAN,7798,M. Hurley,,BYC,2,6,6,Envy,14,5
CAN,8417,M. McHattie,,BYC,7,3,8,Jem,18,6
CAN,8233,F. Bertrand,,CNDN,6,5,7,,18,6
CAN,7796,D. Ashby,,BYC,10,9,4,Boojum,23,8
CAN,8410,C. Bush,,BYC,9,8,11,Bandersnatch,28,9
CAN,7950,L. Samson,,CNDM,11,11,9,,31,10
CAN,5606,B. Beninger,,NSC,13,10,10,Alligator Pie,33,11
CAN,7687,T. Michels,,GCBC,8,13,13,,34,12
