Nation,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club/Land ,Laufwertunge 1,Laufwertunge 2,Laufwertunge 3,Laufwertunge 4,Punkte,Punkte,Platz 
GER,8671,Markus Mühlbauer,Angela Stenger,DTYC,1,1,1,5*,8,3,1
GER,8633,Frieder Achterberg,Wolfi Stückl,DTYC,3,3,11*,1,18,7,2
GER,8519,Robert Wisolek,Alexander Steger,SVM,2,2,5,17*,26,9,3
GER,8413,Stefanie Wagner,Andreas Achterberg,DTYC,4,6*,2,4,16,10,4
GER,8642,Stefan Schollmayer,Francesco Sanguino,SCMSP,5,4,21 DSQ*,2,32,11,5
GER,8652,Sebastian Dörr,Christian Dörr,HSC,11*,5,3,7,26,15,6
GER,8562,Wolfgang Seifert,Christian Voggeser,SGR,9,7,21 DNS*,3,40,19,7
GER,8528,Falko Braun,Rossi,SCR,6,11*,6,8,31,20,8
GER,8386,Jochen Heydolph,Susanne Winkelhofer,SCW,7,8,12*,10,37,25,9
GER,8572,Achim Funk,Christian Schuster,SCLW,10,14*,4,11,39,25,10
GER,8691,Günther Böckle,Frank Heimburger,SSCM,8,13*,7,13,41,28,11
GER,8658,Kristin Wagner,Ines Roßley,DTYC,12,9,9,16*,46,30,12
GER,8475,Göran Berggren,Andreas Jakob,SCLW,14*,10,8,14,46,32,13
GER,8573,Michael Tetzner,Thomas Tetzner,SCLW,13*,12,10,12,47,34,14
GER,4930,Martin Handel,Martin Uhl,SGK,16*,16,14,6,52,36,15
GER,8518,Klaus Eifler,Nils Burghard,SCLW,15*,15,15,9,54,39,16
GER,8530,Alexander von Mertens,Dieter Lange,STSC,17*,17,13,15,62,45,17
GER,7891,Ulli Stegbauer,Robert Plecher,HSC,21 DNS*,18,16,18,73,52,18
GER,8598,Klaus Riedl,Franz Bachmeier,MBSC,18,19,21 DNS*,20,78,57,19
GER,7768,Christina Friedrich,Thorsten Koch,DHH,19,20,21 DNF*,19,79,58,20
