,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club/Land ,Laufwertunge 1,Laufwertunge 2,Laufwertunge 3,Laufwertunge 4,Punkte,Punkte,Pl. 
GER,8651,Joachim Oetken,Stephan Oetken,FYC,1,7*,1,3,12,5,1
GER,8517,Felix Ismar,Arnd Howar,WYD,2,6*,3,1,12,6,2
GER,8542,Tom Swift,Sven Kurka,WYC,7*,1,2,4,14,7,3
GER,8661,Diethardt Freye,Rainer Görge,SVSS,3,9*,5,2,19,10,4
GER,8580,Christian Schäfer,Uwe Lätzsch,,4,10*,4,5,23,13,5
GER,8500,Jörg Häger,Hans-Heinrich Rix,SCB,14*,2,6,6,28,14,6
GER,8470,Norbert Dasenbrock,Sven Meier,KSV,9*,5,7,9,30,21,7
GER,8580,Ernst Meyer,Stefan Heising,SpYC,5,16*,9,8,38,22,8
GER,8478,Volker Görge,Karsten Morf,TSVS,6,11*,11,7,35,24,9
GER,8608,Bernd Rasenack,Julien Kleiner,ZSK,12*,8,8,10,38,26,10
GER,8522,Carsten Engel,Lars Dehne,PSVK,19*,3,12,16,50,31,11
GER,8607,Bernd Kowalzig,Ulrich Ellerbeck,SCB,8,13,19*,11,51,32,12
GER,8465,Jens Hufnagel,Jens Pohl,SCStM,13,12,16*,12,53,37,13
GER,8529,Hans-Georg Joost,Ulrich Joost,YCRM,11,14,29 DSQ*,13,67,38,14
GER,8334,Klaus Duncker,Sönke Reibisch,WSCW,10,4,29 DNF*,29 DNC,72,43,15
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,16,15,17*,14,62,45,16
GER,7035,Michael Köritz,Martin Stürmann,SVO,20*,18,10,19,67,47,17
GER,8424,Peter Gerdts,Karsten Lahrs,SVC,15,19*,14,18,66,47,18
GER,7539,Wolfgang Thieschäfer,Elke Thieschäfer,YCZ,21*,24,13,15,73,52,19
GER,8468,Ulrich Müller-Menzel,Michael Kieselow,WSRM,17,23*,21,17,78,55,20
GER,8222,Christian Koch,Justus Rauno,KYC,26*,17,18,20,81,55,21
GER,8412,Antje Paulsen,Björn Schaar,BSV,22*,21,15,21,79,57,22
GER,8421,Christoff Blecken,Hannes Becker,BSV,18,22,25*,22,87,62,23
GER,6769,Roger Bussenius,Robert Bussenius,SCOH,25,27*,20,23,95,68,24
GER,8225,Tim Steinert,Axel Oetken,HSK,24,26,23,29 DNF*,102,73,25
GER,6685,Georg Neulen,Martin Deutscher,WYCA,23,20,29 DNC*,29 DNC,101,72,26
GER,8065,Konrad Barop,Georg Mittermayer,RSV,28,29 DNC*,22,24,103,74,27
GER,8297,Andre Tirre,Frank Wille,YCZ,27,25,24,29 DNC*,105,76,28
