Land,Segel-Nr.,Steuermann/-frau,Vorschoter/-in,Club/Land,Laufwertunge 1,Laufwertunge 2,Laufwertunge 3,Laufwertunge 4,Laufwertunge 5,Punkte,Punkte,Pl.
GER,8649,Ronald Roos,Kirsten Roos,SVWu,4,1,5*,2,1,13,8,1
GER,8608,Bernd Rasenack,Julien Kleiner,ZSK,2,4,2,1,18 DNS*,27,9,2
GER,8542,Tom Swift,Martin Schöler,WYC,3,3,1,5*,3,15,10,3
GER,7035,Michael Köritz,Boris Herrmann,SVO,1,7,3,8*,6,25,17,4
GER,8465,Jens Hufnagel,Markus Schöner,SCStM,5,2,6,7,11*,31,20,5
GER,8320,Jörn Wille,Claas Hülsen,,8*,6,8,6,2,30,22,6
GER,8686,Nicolai Völckner,Lars Dehne,HSC,12*,9,7,3,4,35,23,7
GER,8662,Jan Stölken,Frank Uhlemann,SCU,6,5,9*,4,8,32,23,8
GER,8414,Stefan Worm,Mathias Kaiser,SCR,13*,8,4,9,9,43,30,9
GER,8421,Christoff Blecken,Hannes Becker,BSV,7,10*,10,10,10,47,37,10
GER,7498,Dirk Ipach,Harald Bruhn,JKN,10,14,16*,11,5,56,40,11
GER,7498,Jürgen Anton,David Thompson,HSC,11,12,15*,12,7,57,42,12
GER,8575,Klaus Rieck,Sven Friedrich,BSV,9,11,12,18 DNS*,18 DNS,68,50,13
GER,8412,Antje Paulsen,Björn Schaar,BSV,15,15,11,18 DNS*,18 DNS,77,59,14
GER,7129,Oliver Kranich,Dirk Neumann,SGR,17*,17,17,13,12,76,59,15
GER,8387,Ole Paulsen,Ulli Riegger,BSV,16,13,13,18 DNS*,18 DNS,78,60,16
GER,7861,Annegret Rieck,Merle Roßdeutscher,BSV,14,16,14,18 DNS*,18 DNS,80,62,17
