Nation,Segel-Nr.,Steuermann/-frau,Vorschoter/-in ,Club/Land ,Laufwertung 1,Laufwertung 2,Laufwertung 3,Points,Platze
GER,8663,Claas Lehmann,Sven Kurka,NRV,1,2,1,4,1
GER,8651,Joachim Oetken,Stephan Oetken,FYC,3,1,2,6,2
GER,8376,Volker Niedik,Stefan Heising,BSV,2,9,3,14,3
GER,8661,Ernst Meyer,Diethardt Freye,SpYC,4,5,7,16,4
GER,8634,Jörg Thumann,Franco Weichel,TuSJ,8,4,5,17,5
DEN,8670,Jörgen Schoenherr,Rainer Görge, ,11,6,4,21,6
GER,8608,Bernd Rasenack,Julien Kleiner,ZSK,6,10,6,22,7
GER,8656,Roger Rachuba,Jens Wilke,SCSt,5,14,9,28,8
GER,8522,Heiko Behrens,Klaus Hönemann,AYCA,12,8,10,30,9
GER,8549,Jens Meinert,Thomas Sobott,BCN,17,3,11,31,10
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,9,13,14,36,11
GER,8529,Hans-Georg Joost,Ulrich Joost,YCRM,20,7,12,39,12
GER,8500,Klaus Rieck,Sven Friedrich,BSV,10,19,16,45,13
GER,7035,Michael Köritz,Boris Herrmann,SVO,18,11,17,46,14
GER,8470,Norbert Dasenbrock,Sven Meier,KSV,15,18,13,46,15
GER,8424,Peter Gerdts,Karsten Lahrs,SVC,22,15,15,52,16
GER,8465,Jens Hufnagel,Jens Pohl,SCStM,14,OCS,8,52,17
GER,7747,Till Supan,Lozenz Urbach,ETuF,7,23,25,55,18
GER,8226,Jörg Morche,Oliver Deutschbein,BSV,16,20,20,56,19
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,21,16,21,58,20
GER,7528,Anja Ludwig,Ralph Ludwig,SVPB,19,17,24,60,21
GER,8657,Georg Neulen,Martin Klawon,WYCA,OCS,12,22,64,22
GER,8674,Rainer Kremkow,Matthias Retzlaff,SCO,23,26,18,67,23
GER,8421,Christoff Blecken,Hannes Becker,BSV,13,25,DNC,68,24
GER,8178,Michael Patz,Holger Rosenberg,RSCWW,24,28,19,71,25
GER,8686,Stefan Uhden,Olaf Wehder,SVH,27,22,23,72,26
GER,8222,Christian Koch,,KYC,26,21,26,73,27
GER,8412,Antje Paulsen,Björn Schaar,BSV,25,24,DNC,79,28
GER,8330,Heinz Ridder,Nils Leibitzke,SVPB,28,27,27,82,29
