Nation,Sail No.,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Pos
GBR,8481,Simon Payne,Bill Masterman,HISC,2,5,2,3,2,9,1
GER,8623,Gerald Roos,Stefan Bohm,SVWV,5,3,5,1,1,10,2
DEN,8727,Jorgen Schoenher,Andres Kaempe,KSK,14,4,1,5,3,13,3
GER,8649,Ronald Roos,Gerd Linnemann,SVWU,3,10,6,17,4,23,4
SUI,8016,Cerjat Jeanfrancois De,Philippe Jacot,BEVAIX,8,12,4,4,7,23,5
DEN,8656,Jan Moller,Jacob Bojsen-Moller,XXX,10,6,9,9,6,30,6
GER,8663,Steffan Kochlin,Sven Kurka,SVST,11,14,10,12,5,38,7
GBR,8568,Christian Diebitsch,Charles Walters,DWSC,18,9,8,15,11,43,8
GER,8570,Hans Heinrich Rix,Steffen Achenbach,CKA,9,17,3,22,15,44,9
DEN,8082,Soren Andrensen,Jens Karl Langedorf,HSK,7,15,15,13,9,44,10
DEN,8675,Rasmus Fredsted,Thomas Hartwig,RDYC,12,RDG,13,19,12,49.33,11
GBR,8495,David Peackock,Chris Henkin,BSC,22,7,DNF,16,8,53,12
GBR,8720,Ian Pinnel,Dan Johnson,GWSC,1,2,DNF,2,DNF,55,13
SUI,8569,Rene Betschen,Patrick Ducommun,CNB,16,11,12,18,17,56,14
DEN,8620,Jan Suagmann,Morten Ramsbaek,HIS,4,1,DNF,7,DNF,62,15
GBR,8429,Rob Napier,Kimball Morrison,HLYC,6,23,17,25,18,64,16
SUI,8440,Urs Shcerrer,Adrian Iten,YC ZUG,30,27,16,8,13,64,17
GER,8580,Frida Achterberg,Andreas Achterberg,DTYC,23,8,21,34,19,71,18
GER,8665,Jens-Peter Schlomka,Klaus Stammerjohann,TSVS,21,24,11,20,20,72,19
GER,8633,Jens Hartwih,Wolfgang Stueckl,PYC,27,32,20,11,16,74,20
GER,8505,Adalbel Kluck,Gerhardt Schmidt,TSVS,20,19,DNF,33,14,86,21
SUI,8426,Marcel Pluess,Ivo Duerr,SVT,DNF,20,37,26,10,93,22
GER,8607,Ulrich Ellerbeck,Bernd Kowalzig,SCB,32,31,28,14,21,94,23
DEN,8551,Jacob Ernst,Jesper Ernst,HSK,26,22,26,21,DNF,95,24
SUI,8486,Simone Zund,Michel Rotach,CN VERSOI,28,25,24,27,24,100,25
GBR,8378,Martin Hodgson,Alastair Macleod,STONE SC,15,DNF,7,29,DNF,101,26
GBR,8701,Paul Lovesey,Andrew Williams,XXX,13,21,18,DNF,DNF,102,27
GBR,8705,Mark Longstaff,Simon J.Lake,GWSC,17,18,22,DNF,DNF,107,28
GER,8642,Stefan Schollmayer,Frisco Sanguino Petersen,DTYC,33,28,DNF,24,25,110,29
GER,8671,Markus Muehlbauer,Angela Stenger,DTYC,DNF,DNF,34,6,23,113,30
GBR,8708,Martin Wedge,Nick Bild,RBYC,24,16,DNF,23,DNF,113,31
FRA,8353,Robert Fossard,Fred Roucayrol,SNB,DNF,34,27,31,22,114,32
GBR,8679,David Smithwhite,Neil Fulcher,FPSC,25,26,14,DNF,DNF,115,33
GER,8335,Roger Rachuba,Jens Wilke,SCST,31,13,23,DNF,DNF,117,34
GER,8413,Martin Eckel,Oliver Paulzen,HSC,35,29,29,28,DNF,121,35
SUI,8096,Alain Brasley,Stéphane Burri,CNM,37,39,32,30,26,125,36
GER,8472,Kai Loblein,Roland Wiedermann,DTJC,38,35,30,36,27,128,37
GBR,8707,Steve Nicholson,John Nicholson,XXX,19,OCS,DNF,10,DNF,129,38
DEN,8581,Jon Andresen,Lasse Andersen,REERSO,34,33,35,32,DNF,134,39
GER,8470,Dasenbrook Norbert,Meier Sven,KSW,36,30,31,DNF,DNF,147,40
FRA,8090,Loic Blevez,Michel Bonnet,BANDOL,39,37,36,35,DNF,147,41
GBR,8640,Vernon Ralston,Simon Spratt,TBYC,29,DNF,19,DNF,DNF,148,42
GER,8691,Guenter Botele,Frank Heimburger,SSCM,41,38,33,38,DNF,150,43
SUI,8586,Markus Gericke,Beat Waser,ZYC,DNF,36,25,DNF,DNF,161,44
SUI,7953,Adrian Zaugg,Yves Reisacher,SVK,DNC,DNC,DNF,37,28,165,45
GER,8473,Olivier Kraft,Andreas Goeggel,SSCM,40,42,DNF,39,DNF,171,46
SUI,8485,Raphael Vogel,Roland Ledergerber,YCRO,DNF,40,DNF,DNF,DNF,190,47
FRA,7888,Eric Gubourge,Bernard Coffin,SNB,DNF,41,DNF,DNF,DNF,191,48
GER,8598,Klaus Riedl,Peter Bohland,MBSC,DNF,DNF,DNF,DNF,DNF,200,49
