Nation,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club/Land ,Race 1,Race 2,Points,Pl. 
SUI,8016,Jean-Francois de Cerjat,Philippe Jacot,CVN,1,3,4,1
FRA,8402,Philippe Boite,Jean Muzellec,,2,2,4,2
FRA,8684,Pierre-Jean Gallo,Fabrice Toupet,,5,1,6,3
GER,8671,Markus Mühlbauer,Angela Stenger,DTYC,4,4,8,4
SUI,8486,Simone Zund,Michel Rotach,,3,7,10,5
FRA,8362,Alain Boite,Goff le Maxime,,7,6,13,6
FRA,8353,Robert Fossard,Frede Roucayrol,,6,9,15,7
GER,8642,Stefan Schollmayer,Francesco Sanguino,SCMSP,10,8,18,8
SUI,8569,Rene Betschen,P. Ducommun,,16,5,21,9
SWE,8427,Jakob Lindvall,Kalle Byrenius,,8,16,24,10
FRA,8455,Marcel Buffet,Damien Trouillet,,13,11,24,11
SUI,8440,Urs Scherrer,Adrian Iten,,11,14,25,12
SUI,8196,Florent Chapatte,M. Froideveaux,,12,15,27,13
SUI,8612,Heiner Kyburz,Herbert Hermann,,9,2,11,14
SUI,7953,Adrian Zaugg,P. Grob,,17,12,29,15
GER,8424,Peter Gerdts,Karsten Lahrs,SVC,14,17,31,16
SUI,8426,Marcel Pluss,Yvo Durr,,23 DNC,10,33,17
SUI,8096,Alain Brasey,Stéphane Burri,,15,18,33,18
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,,23 DSQ,13,36,19
SUI,8485,Raphael Vogel,Roland Ledergerber,YCRO,18,19,37,20
FRA,7888,Eric Gubourge,Bernard Coffin,Bandol,19,21,40,21
SUI,7634,L. Gaume,A. Lendi,CNBC,20,22,42,22
