Country,Sail#,Helmsman,Crew,Club,Race 1,Race 2,Race 3,TotPts,Pos
USA,8643,Barney Harris,Jesse Falsone,WRSC/SSA,3,1,4,8,1
USA,8012,Henry Amthor,Douglas Amthor,HYC,5,3,1,9,2
USA,8085,Rene de la Rie,Allan Freedman,WRSC/SSA,4,5,2,11,3
USA,8263,Alexander Meller,Fiona Lockwood,SSA,1,4,7,12,4
USA,6987,Lauren Abramson,Bill Ball,GSA,2,8,5,15,5
USA,8722,Macy Nelson,Art Gleason,WRSC,8,2,8,18,6
USA,7346,John Hauser,Les Crane,SSA,9,6,3,18,7
USA,8018,Stergios Papadakis,Ian Hill,,7,7,10,24,8
USA,6985,Dylan Breton,Michael Breton,WRSC,10,9,6,25,9
USA,8015,Monty Schumpert,Stephan von Klaudy,WRSC,6,10,9,25,10
USA,7776,Bob O'Brien,Arnaud Lucas,SSA,13,11,11,35,11
USA,7879,Clayton James,,WRSC,12,12,12,36,12
USA,8058,Andy Cole,Dennis Burroughs,,11,13,13,37,13
