Nation,Sail#,Driver,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,TotPts,Pos
USA,8627,Tim Collins,Bill Smith,,1,2,2,2,-4,1,1,9,1
CAN,8264,Jeff Boyd,Martin tenHove,,2,3,7,6,1,-8,4,23,2
USA,8083,Neal Fowler,Dave Dyson,,4,5,3,5,-8,5,2,24,3
USA,8715,Ali Meller,Fiona Lockwood,,8,7,4,1,-9,3,3,26,4
USA,8012,Henry Amthor,Douglas Amthor,,5,1,6,4,-17,4,6,26,5
USA,8643,Barney Harris,Jesse Falsone,,3,4,5,-16,2,2,10,26,5
USA,8722,Macy Nelson,Art Gleason,,6,6,1,-7,3,6,5,27,7
USA,8013,Rick Thompson,Dave Smith,,7,8,10,12,-19,7,9,53,8
USA,8085,Rene de la Rie,Allan Freedman,,-12,11,8,9,7,9,11,55,9
USA,8194,Thomas Kivney,Todd Johnson,,9,9,9,13,-14,10,12,62,10
USA,8024,David Chatham,,,11,10,13,10,6,-22,13,63,11
USA,8018,Stergios Papadakis,Sol Marini,,-17,14,12,8,11,13,7,65,12
USA,8698,Chris Fowler,Steve Yates,,10,13,11,11,5,18,-27DNC,68,13
USA,6987,Lauren Abramson,Bill Ball,,-18,18,16,3,13,16,8,74,14
USA,8015,Latane Montague,Monty Schumpert,,13,12,14,21,-22,12,17,89,15
USA,7879,Dustin Romey,Clayton James,,16,16,19,14,10,-25,22,97,16
USA,8311,Chris Yindra,Mark McCarthy,,14,17,15,19,16,-20,19,100,17
USA,7346,John Hauser,Les Crane,,20,15,17,17,20,14,-27RET,103,18
USA,8624,Mark Elkington,David Stetson,,15,19,18,20,12,-24,20,104,19
USA,8610,Ted Ferrarone,Ferrarone,,-23,21,20,18,18,15,18,110,20
USA,6985,Dylyan Breton,Michael Breton,,19,-27DNC,27DNC,15,15,21,16,113,21
USA,7776,Bob O'Brien,Arnaud Lucas,,21,20,-27DNC,27DNC,21,11,14,114,22
USA,8058,Andy Cole,Dennis Burroughs,,24,-27DNF,22,23,23,17,15,124,23
USA,7876,Steve Lieberman,Josh Lieberman,,22,22,21,-24,24,19,21,129,24
USA,8645,Dave Anderson,Fred Leisegang,,-27DNC,27DNC,27DNC,22,25,23,23,147,25
USA,7089,Peter Durant,,,-27DNC,27DNC,27DNC,27DNC,27DNC,27DNC,27DNC,162,26
