Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Points,Place
DEN,8728,Kampe Shonherr,Ander,,2,4,1,14,11,1
USA,8266,Howard Hamlin,Mike Martin,,3,5,3,1,11.4,2
GBR,8552,Marc Upton-Brown,Ian Mitchell,,7,3,14,5,28.7,3
DEN,8620,Jan Saugmann,Morten Ramsbeck,,11,2,8,15,34,4
GBR,8720,Ian Pinnell,Nick Powell,,14,1,22,9,35,5
GBR,8676,Clive Robinson,Gary Cawthorn,,8,DNC,5,11,41,6
USA,7201,Daniel Thompson,Andrew Zinn,,15,9,18,4,44,7
FRA,8702,Philippe Boite,Jean L Muzellec,,1,6,29,DSQ,46.7,8
SWE,8655,Krister Bergström,Thomas Moss,,9,10,11,DNC,48,9
FRA,8709,Alain Boite,Goff Maxime Le,,10,28,15,6,48.7,10
GBR,8342,Mike Holt,Paul Beasley,,18,8,13,12,51,11
FRA,8564,Laurent Hay,Stephane Boudier,,19,12,16,7,53,12
AUS,8280,Michael Quirk,Geoff Lange,,12,7,DNC,23,60,13
FRA,8687,Francois Fischer,Jerom Delvaux,,27,16,4,31,63,14
GER,8623,Stefan Bohm,Gerald Roos,,13,11,DSQ,22,64,15
GER,8671,Markus Muhlbauer,Angel Stenger,,16,21,21,10,65,16
GBR,8429,Rob Napier,Kimball Morrison,,6,13,38,55,74.7,17
SUI,8486,Simone Zund,Michel Rotach,,33,14,25,19,76,18
SUI,8440,Urs Scherrer,Adrian Iten,,39,15,28,16,77,19
DEN,8551,Jacob Ernst,Jesper Ernst,,21,22,23,29,84,20
GBR,8707,Steven Nicholson,Johat Mildred,,20,DNC,12,35,85,21
RSA,8584,Nigel Milln,Ian Hogg,,24,29,DNF,17,88,22
FRA,8321,Michel Rimbert,Antoine Rimbert,,48,DNC,10,13,89,23
FRA,8431,Herve Druart-Pariat,Th Boudier,,22,18,40,34,92,24
SUI,8426,Marcel Pluss,Yvo Duerr,,25,25,26,DNC,94,25
FRA,8695,Jean-Guy Puissant,Eti Seguelas,,DNC,20,34,25,97,26
RSA,8537,Robert Crisp,Buddenbrock W Von,,17,17,57,52,104,27
GBR,8508,Sam Neal,Robin Annett,,DNC,26,37,24,105,28
BEL,8553,Paul Gorremans,Eric Defroimont,,29,34,24,DNC,105,29
AUS,8603,Ian Dunn,Paul Schulz,,37,24,31,32,105,30
FRA,8484,Philippe Blanchard,Doerenbeche,,41,33,17,47,109,31
FRA,8565,Valleteau de Moulliac,Sc Benoit,,30,41,41,21,110,32
GBR,8708,Martin Wedge,Nick Beloe,,28,DNC,27,39,112,33
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,,36,27,32,ZPG,113,34
FRA,8491,Frederic Veroul,Jean Ja Veroul,,26,DNC,39,33,116,35
FRA,7941,Veronique Dousselin,Jean Peter,,31,38,30,44,117,36
FRA,8455,Marcel Buffet,Régis Viateur,,44,39,35,26,118,37
FRA,8353,Robert Fossard,Frede Roucayrol,,32,37,42,ZPG,129,38
GBR,8701,Paul Louesy,Andy Williams,,DNC,35,33,43,129,39
GER,8721,Wolfgang Hunger,Holger Jess,,5,DNC,2,DNC,130,40
ZIM,8445,Cosh Patrick Mac,Mike Price,,43,19,51,DNC,131,41
FRA,8693,Muriel Jeanne,Gilles Carvallo,,47,42,36,38,134,42
SWE,8232,Ebbe Rosen,Olle Wenrup,,4,DNC,7,DNC,138,43
FRA,8352,Philippe Noclain,Jean-Pierre Noclain,,42,31,50,63,141,44
FRA,8683,Gerard Tilly,Xavier Tilly,,40,36,52,DNC,146,45
FRA,7932,Jacques Raguet,Ludovic Roblin,,45,40,43,DSQ,146,46
AUS,8185,Earle Alexander,Ken Lockenby,,46,30,54,DNC,148,47
GBR,8704,Jean Dupont,Jonhathn Rennie,,50,32,56,48,148,48
GBR,8419,Stuart Turnbull,Jason Lunn,,55,23,DNC,53,149,49
FRA,8716,Christian Silvestre,Silvestre,,53,51,55,27,149,50
USA,7771,Andy Beeckman,Ben Benjamin,,DNC,DNC,6,18,152.7,51
DEN,8581,Jon Anderson,Lasse B. Adreasen,,54,43,46,59,161,52
FRA,8459,Jerome Terrasson,C Briffoteaux,,35,DSQ,DNC,3,163.7,53
FRA,8064,Nicolas Guillou,Guillaume Got,,51,55,63,40,164,54
CAN,7200,Ali Meller,Pip Pearson,,DNC,DNC,19,ZPG,167,55
FRA,8348,Jacques Bochu,Christophe Bochu,,52,45,65,61,176,56
FRA,8462,Laurent Lasnier,Gilles Lasnier,,60,47,53,ZPG,178,57
FRA,8275,Jean Marc Noclain,Roge Chabaud,,49,50,62,65,179,58
FRA,8677,Michel Christ,Philippe Claude,,23,DSQ DSQ ZPG,,,182,59
FRA,8133,Daniel Linde,Pascal Pignot,,57,49,DNC,58,182,60
FRA,8184,Damien Zucconi,Lauren Camusson,,63,44,59,67,184,61
GBR,8467,Chris Romans,Brenda Romans,,62,46,58,DNC,184,62
FRA,8566,Olivier Thiberge,Chri Thiberge,,64,54,60,54,186,63
GBR,8095,Peter Burwood,Stephen Burwood,,58,DNC,67,45,188,64
FRA,8157,Bernard Dugrip,Pierre Bories,,61,53,66,62,194,65
FRA,8382,Gautier Destombes,An Destombes,,56,48,DSQ ZPG,,200,66
