Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
GER,8649,Ronald Roos,Gerd Linnemann,SVWu,3,1,2,1,3,11,21,,1
FRA,8702,Philippe Boite,Régis Viateur,CVM,4,2,5,3,4,1,19,,2
GER,8751,Markus Mühlbauer,Angela Stenger,DTYC,1,4,1,DSQ 24,5,10,45,,3
BEL,8463,Emil Van Hemeldonck,Jan Van Hemeldonck,VVW,7,13,6,8,2,2,38,,4
GER,8570,Till Supan,Markus Conrad,ETUF,10,9,10,4,1,3,37,,5
BEL,8536,Bart Meyndonck,Chris Lehouck,VVWH,2,11,12,5,7,5,42,,6
FRA,8455,Marcel Buffet,Damien Trouillet,CVP,5,5,4,9,8,12,43,,7
GER,8721,Martin Seikel,Norbert Becker,PSVK,9,6,9,11,6,4,45,,8
FRA,7941,Veronique Dousselin,Jean-Pierre Peter,ACAL,8,7,3,12,12,7,49,,9
FRA,8716,Christian Silvestre,Pierre-Yves Partant,CVB,13,10,11,2,9,9,54,,10
FRA,8509,Pierre Muh,Dominique Keraudren,CNVC,6,3,13,7,13,14,56,,11
BEL,8553,Paul Gorremans,Marie-Pierre Gorremans,VVWA,19,20,7,6,11,6,69,,12
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,12,8,8,10,15,DNC 24,77,,13
BEL,8486,Pierre Vandepoel,De Clerc,HoRYC,11,14,14,DNF 24,10,8,81,,14
BEL,8303,De Wolf,Van Haut,VVW,14,16,18,13,17,17,95,,15
FRA,8733,Michel Boiry,Jerome Legeai,CVP,15,17,20,15,18,13,98,,16
BEL,8488,Dignef,D'Herde,HRYC,17,19,15,16,16,15,98,,17
FRA,8301,Bernard Blondy,Maxime Zarosinski,CVA,18,12,16,19,20,18,103,,18
FRA,8238,Jean-Pierre Noclain,Lionel Lesoil,CVV,16,15,19,18,19,16,103,,19
FRA,8352,Jean-Marc Noclain,Roger Chabaud,CVA,DNC 24,DNC 24,DNC 24,14,14,19,119,,20
GER,8450,Jürgen Feuerhake,Margit Falk,YCSb,21,18,17,17,DNC 24,DNC 24,121,,21
BEL,5593,Gilet,Gilet,NH,20,21,21,20,DNC 24,20,126,,22
BEL,7695,Didier Trine,Philippe Vandersteen,KYC,22,22,22,21,21,DNC 24,132,,23
