Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,8633,Bertl Eberl,Wolfgang Stückl,SVOS,3,2,1,6,6,1
GER,8519,Robert Wisolek,Oliver Paulzen,SCLW,2,1,3,6,6,2
GER,8642,Stefan Schollmayer,Francisco Sanguino,SCMSP,5,4,5,14,14,3
GER,8572,Achim Funk,Jakob Andreas,SCLW,6,5,6,17,17,4
GER,8413,Martin Eckel,Tobias Quadfaß,HSC,8,6,4,18,18,5
GER,8671,Markus Mühlbauer,Angela Stenger,DTYC,1,3,DSQ 21,25,25,6
SUI,8462,Marcel Plüss,Yvo Durr,SVT,4,DNC 21,2,27,27,7
GER,7768,Thoralf Greger,Thorsten Koch,ASVG,11,11,8,30,30,8
GER,8697,Hans-Otto Frisch,Till Reckert,SCLW,15,9,7,31,31,9
GER,7970,Nils Burghard,Susanne Bauer,SCLW,10,7,16,33,33,10
GER,8475,Göran Berggren,Agnes Berggren,SCLW,12,8,13,33,33,11
GER,7908,Uwe Hoffmann,Verena Hoffmann,WSVR,17,10,10,37,37,12
GER,7921,Jochen Heydolph,Scarlet Endrejat,SCLW,16,12,14,42,42,13
GER,7661,Peter Heimbeck,Thomas Heimbeck,SCLW,19,13,11,43,43,14
GER,8098,Martin Handel,Frank Letsche,SGK,18,14,12,44,44,15
GER,413*,Ulli Stegbauer,Michael Müller,HSC,13,16,15,44,44,16
GER,6534,Heinz Wietzorrek,Magdalena Heimbeck,SCLW,9,15,DNF 21,45,45,17
GER,8518,Klaus Eifler,Nathalie Friedrich,SCLW,20,17,9,46,46,18
GER,8562,Wolfgang Seifert,Christian Voggeser,SCLW,7,DNC 21,DNC 21,49,49,19
GER,8530,Alexander von Mertens,Ines Berghof,StSC,14,DNC 21,DNC 21,56,56,20
