Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Pts,Position
GBR,8736,Mike Holt,Ian Godfrey,,6,6,4,1,1,2,14,1
GBR,8679,Hector Cisneros,Lawrence Crispin,,2,4,3,4,2,OCS,15,2
GBR,8676,Clive Robinson,Gary Hawthorn,,1,1,5,3,6,6,16,3
GBR,8460,Martin Goult,Gordon Russell,,5,3,8,2,7,1,18,4
GBR,865*,Ian Montague,Geoff Kimber,,4,RTD,1,7,4,5,21,5
GBR,8556,Terry Scutcher,C Turner,,3,10,7,8,5,3,26,6
GBR,8378,Martin Hodgson,Alastair Mcleod,,8,5,2,12,9,4,28,7
GBR,8526,Tim Bird,Andrew George,,10,2,6,5,8,8,29,8
GBR,8429,Rob Napier,Jonathan Rennie,,7,9,12,9,3,7,35,9
GBR,8493,Chris Dando,Donald Sloan,,12,8,9,6,10,11,44,10
GBR,8650,T Selfe,Alan Montague,,9,7,11,15,15,10,52,11
GBR,8726,Martin Stainsby,B Dunnery,,15,12,10,11,13,9,55,12
GBR,8434,L Fernley,Brett Matthews,,14,11,OCS,10,11,12,58,13
GBR,8494,Peter Andreae,Rob Stallard,,11,13,15,16,14,13,66,14
GBR,8745,Chris Pearson,Frank Rainsborough,,13,15,14,14,12,14,67,15
GBR,8384,B Townsend,S Lawrence,,16,14,13,13,DNC,DNC,75,16
GBR,7700,J Sanderson,P Barker,,17,16,16,RTD,16,15,80,17
