Nation,Sail,Crew,From,1,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,2,Total,Place
CAN,8264,Jeff Boyd,Martin ten Hove,Kingston ON,-6,2,5,1,3,3,2,,16,1
USA,8083,Neal Fowler,Dave Dyson,Dennis,1,4,2,2,-7,5,3,MA/Westport CT,17,2
USA,8627,Tim Collins,Mike Mills,Bristol/Portsmouth RI,5,1,-7,4,2,2,5,,19,3
USA,8754,Lars Guck,Peter Alarie,Bristol RI,-9,6,3,5,4,1,1,,20,4
USA,8012,Henry Amthor,Jesse Falsone,Hampton,3,-11,4,6,1,4,4,VA/Annapolis MD,22,5
USA,8734,Ali Meller,Fiona Lockwood,Annapolis MD,4,3,1,3,6,6,(25/DNF),,23,6
USA,8722,Macy Nelson,Mike Welch,Baltimore,2,-8,6,7,5,8,6,MD/Boston MA,34,7
USA,8085,Rene de la Rie,Allan Freedman,Wash,8,5,9,8,-11,9,7,D.C./Silver Springs,46,8
USA,8194,Tom Kivney,Adam Schell,Hingham,7,9,8,9,8,7,-10,MA/Kingston ON,48,9
USA,8013,David Smith,Rick Thompson,Southport,10,7,12,13,10,-14,8,CT/Boston MA,60,10
CAN,194*,Ian Torrie,Mairus Rzucidlo,Ottawa ON,11,13,11,15,-16,12,12,,74,11
USA,8624,Dave Stetson,Andrew Fowler,Columbus,-17,14,16,14,13,11,9,OH/Kingston ON,77,12
USA,7068,Colin Merrick,Tal Ingram,,(25/DNC),25/DNC,10,10,9,10,14,,78,13
USA,8015,Latne Montague,Monte Schumpert,Alexandria,15,16,-19,12,12,13,11,VA/Vienna VA,79,14
USA,7148,Peter Mignerey,Bill Hientz,College Park MD,16,10,13,16,18,17,(25/DNS),,90,15
USA,8311,Chris Yindra,Mark McCarthy,Huntington VT,14,17,18,-19,14,15,13,,91,16
USA,6985,Mike Brenton,Dylan Brenton,Columbia MD,12,15,14,11,15,(25/DNF),25/DNS,,92,17
USA,7771,Chad Atkins,Ed Petit de Mange,Newport RI,13,18,17,17,-19,18,15,,98,18
USA,8689,Nicholas Grey,Jim Hannan,Gerard Kivney,(25/DNC),12,15,18,17,25/DNC,25/DNC,Rochester MA,112,19
USA,7876,Steve Lieberman,Josh Lieberman,Bethesda MD,-20,20,20,20,20,16,16,,112,20
USA,7839,Doug DeCouto,Frank Maldari,,18,19,21,21,(25/DNF),19,25/DNF,Bermuda,123,21
USA,8737,Peter Durant,Tom Hurwitch,Falmouth MA,19,21,23,(25/DNF),25/DNS,25/DNC,25/DNC,,138,22
USA,7793,Geoff Schaefer,Dave Seiple,Hilliard OH,(25/DNC),22,22,22,25/DNF,25/DNF,25/DNS,,141,23
USA,3977,Hal Jordan,Jeff Wren,Bow,(25/DNC),25/DNC,25/DNC,25/DNC,25/DNC,25/DNC,25/DNC,NH/Bangor ME,150,24
