Nation,Boat,Helm,Crew,Club,1,2,3,4,5,6,Domicile,Tot.,Plac.
DEN,8620,Jan Saugmann,Morten Ramsbäk,HILL,-2,1,1,2,1,1,Hillerød,6,1
SWE,8655,Krister Bergström,Thomas Moss,GKSS,3,2,2,1,-4,2,Tyresö,10,2
SWE,8232,Ebbe Rosén,Olle Wenrup,MKS,1,3,3,3,(DNF),3,Hägersten,13,3
DEN,8440,Per Larsen,Henrik Andersen,FAS,4,4,-5,5,2,4,Farum,19,4
SWE,8585,Jan Eriksson,Johan Arvedson,NSS,5,5,(DNS),4,3,7,Töby,24,5
GER,8542,Henrik Gustafsson,Robert Larsson,ÖKF,7,(DNF),7,7,6,5,Örebro,32,6
DEN,8622,Tom Björland,Jacob Karbo,FAS,(DNF),DNF,4,6,5,6,Farum,33,7
GER,8392,Georg Mittermayer,Konrad Barop,LûC,6,7,6,8,(DNF),DNS,,39,8
DEN,8476,Henrik Buhl,Morten S. Andersen,FARU,8,6,8,9,(DNF),8,,39,9
GER,8065,Andreas Dietze,Paolo Rossi,BSF,9,(DNF),9,DNS,DNS,DNS,Skien Norge,54,10
