Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
GBR,8774,Ian Pinnell,Steven Hunt,GWSC,2,4,3,1,2,2,14,,1
FRA,8702,Philippe Boite,Fabrice Toupet,CVM,1,7,6,2,1,1,18,,2
GER,8775,Tom Swift,Rainer Görge,NRV,4,1,4,4,3,DNC 58,74,,3
FRA,8564,Laurent Hay,Pierre-Jean Gallo,YCIdF,3,2,7,28,8,4,52,,4
GER,8376,Volker Niedik,Stefan Heising,BSV,6,5,9,5,14,DNC 58,97,,5
GER,8720,Dirk Filimonow,Lars Stöckmann,BSV,7,6,18,6,6,14,57,,6
GER,8580,Christian Kellner,Andreas Achterberg,HSC,15,3,30,8,7,7,70,,7
SUI,8729,Christian Diebitsch,Philippe Jacot,SSC,11,14,28,7,5,6,71,,8
FRA,8687,François Fischer,Jerome Delvaux,CVdP,5,21,13,10,9,8,66,,9
FRA,8677,Serge Gubri,Thibault Di Pede,JMIAM,9,8,8,21,13,19,78,,10
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,8,19,34,12,11,9,93,,11
GER,8772,Ronald Roos,Gerd Linnemann,SVWu,13,24,26,16,12,5,96,,12
GER,8721,Martin Seikel,Norbert Becker,PSVK,36,22,17,9,10,13,107,,13
GER,8652,Sebastian Dörr,Christian Dörr,HSC,10,13,2,11,39,DNC 58,133,,14
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,16,18,24,19,15,11,103,,15
SUI,8543,Cedric Bart,Phillip Krebs,CNB,23,15,42,14,20,10,124,,16
DEN,8440,Per Larsen,Uffe Andersen,Farum,14,17,14,22,17,27,111,,17
SUI,8569,Rene Betschen,Patrick Ducommun,CNB,30,46,35,17,4,3,135,,18
FRA,8716,Christian Silvestre,Pierre-Yves Partant,CVB,18,10,1,34,32,34,129,,19
GER,8519,Robert Wisolek,Thorsten Koch,SCLW,26,11,10,30,30,25,132,,20
FRA,8565,Benoît de Moulliac,Frederic Roucayrol,,22,DSQ 58,15,27,21,18,161,,21
GER,8531,Michael Troch,Eckart König,SGJ,12,20,29,24,28,31,144,,22
GER,8662,Jan Stölken,Matthias Brühl,SCU,32,26,22,20,31,15,146,,23
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,CNS,31,29,50,13,34,12,169,,24
FRA,8635,Jean-Baptiste Dupont,Christian Vallaud,AS,42,36,23,18,19,26,164,,25
FRA,8402,Bertrand Commeil,Thierry Buand,,29,39,31,31,16,17,163,,26
GER,8621,Stephan Schweiger,Johannes Schmederer,SCLW,25,12,36,37,26,30,166,,27
GER,8642,Thoralf Greger,Tobias Quadfaß,ASVG,24,30,45,25,27,29,180,,28
GER,8788,Peter Gerdts,Karsten Lahrs,HSC,21,42,33,44,25,16,181,,29
FRA,8676,Marcel Buffet,Lemarignier,CVP,20,16,19,45,41,DNC 58,199,,30
GER,8633,Frieder Achterberg,Wolfgang Stückl,DTYC,27,25,16,15,DNC 58,DNC 58,199,,31
FRA,8400,Marc Jouany,Jean-Philippe Ducros,CVdP,41,28,40,50,23,20,202,,32
GER,8725,Dietrich Scheder-Bieschin,Rolf Meyer,NRV,17,DSQ 58,11,3,DNC 58,DNC 58,205,,33
GER,8539,Hendrik Schultz,Ute Oberländer,SCLW,19,9,32,36,DNC 58,DNC 58,212,,34
GBR,8708,Martin Wedge,Scott Allen,RBYC,28,32,52,32,18,DNC 58,220,,35
ZIM,8748,Samuel Carvallo,Muriel Jeanne,CNHS,38,40,25,46,22,37,208,,36
FRA,8352,Philippe Noclain,Jean-Pierre Noclain,CVA,53,44,27,47,29,21,221,,37
GER,8671,Daniel Van Bonn,Malte Coers,SKBUE,34,34,5,35,DNC 58,DNC 58,224,,38
FRA,8761,Marc Riot,Geoffroy Riot,CNVC,37,27,41,42,43,24,214,,39
FRA,8640,Patrick Perrault,Perrault,,39,35,12,33,DNC 58,DNC 58,235,,40
SUI,8079,Lorenz Nydegger,Martin Nydegger,SCB,33,49,51,38,33,28,232,,41
GER,8465,Petra Kliba-Schmidt,Jan-Rolf Schmidt,SKWB,40,37,21,29,DNC 58,DNC 58,243,,42
GER,8480,Sven Hollenbeck,Björn Hollenbeck,WYCD,47,31,37,43,37,DNC 58,253,,43
GER,8473,Oliver Kraft,Andreas Goggel,SSCM,35,45,46,49,36,33,244,,44
GER,8430,Klaus Heeschen,Alexandra Schulz,WSCW,43,43,20,51,40,DNC 58,255,,45
FRA,8090,Loic Bleuez,Michel Bonnet,,49,52,47,40,38,23,249,,46
FRA,8733,Michel Boiry,Bruno Gallardo,CVP,52,51,39,DNC 58,35,22,257,,47
FRA,8623,Eric Brun,Dominique Rouanne,YCCav,46,50,53,26,24,DNC 58,257,,48
GBR,8705,Jim Berry,Simon Lake,CVSC,44,38,44,23,DNC 58,DNC 58,265,,49
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,48,23,56,48,44,DNC 58,277,,50
FRA,8770,Jean-Marc Noclain,Lionel Lesoil,CVA,55,41,38,55,42,DNC 58,289,,51
GER,8530,Alexander von Mertens,Pia Wiesbauer,StSC,54,DNC 58,DNC 58,41,46,32,289,,52
FRA,7999,Adrien Lasnier,Benjamin Lasnier,,50,48,48,54,DNF 58,36,294,,53
GER,8210,Nikolaus Jägersberg,Wolfgang Hiltscher,SCLW,DSQ 58,54,55,52,45,35,299,,55
FRA,8301,Bernard Blondy,Roger Chabaud,CVA,51,47,43,53,DNC 58,DNC 58,310,,56
GER,7801,Christiane Giefers,Thorge Holm,SVPB,45,55,57,56,DNC 58,DNC 58,329,,57
FRA,8452,Daniel Nouraud,Bernard Edel,,57,53,54,DNF 58,DNF 58,DNC 58,338,,58
