Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8670,"Martin Görge","Rainer Görge",TSVS,1,"BFD 30",1,1,1,34,,1
GER,8800,"Wolfgang Hunger","Holger Jess",PYC,2,1,2,4,8,17,,2
GER,8720,"Dirk Filimonow","Lars Stöckmann",BSV,5,3,4,3,4,19,,3
GER,8622,"Lutz Stengel","Frank Feller",ROYC,7,4,3,9,2,25,,4
GER,8750,"Christian Müllejans","Thomas Jung",SVWu,8,5,7,5,10,35,,5
GER,8725,"Dietrich Scheder-Bieschin","Rolf Meyer",NRV,3,2,19,11,18,53,,7
GER,8619,"Jens Findel","Johannes Tellen",KYC,14,9,"RET 30",8,3,64,,8
GER,8659,"Axel Oberemm","Gerd Linnemann",BYC-SC,15,"BFD 30",6,7,6,64,,9
GER,8661,"Diethardt Freye","Michael Klügel",BSV,10,11,14,6,7,48,,10
GER,8744,"Hans-Heinrich Rix","Steffen Achenbach",TSVS,9,8,11,12,19,59,,11
GER,8742,"Stefan Köchlin","Nicole Hunecke",SKF,21,17,12,2,11,63,,12
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,12,10,8,18,12,60,,13
GER,8570,"Till Supan","Gregor Dahlem",ETUF,25,16,10,14,9,74,,14
GER,8675,"Volker Görge","Karsten Morf",TSVS,6,"BFD 30",17,16,13,82,,15
GER,8663,"Norbert Dasenbrook","Sven Meier",KSW,13,7,16,17,16,69,,16
GER,8749,"Stephan Krause","Michael Krause",HiSC,16,12,13,25,17,83,,18
GER,8788,"Peter Gerdts","Karsten Lahrs",HSC,19,20,15,15,14,83,,19
GER,8711,"Carsten Engel","Holger Neuhaus",PSVK,17,14,22,13,20,86,,20
GER,8465,"Petra Kliba-Schmidt","Jan-Rolf Schmidt",SKWB,22,15,20,21,21,99,,21
GER,8741,"Hans-Christian Schwieger","Waldemar Schönebeck",NRV,23,19,24,23,15,104,,22
GER,8478,"Kai-Uwe Weiss","Jan Büscher",HSV,18,"BFD 30",27,20,22,117,,23
GER,8430,"Klaus Heeschen","Alexandra Schulz",WSCW,29,18,25,19,28,119,,24
GER,8505,"Adalbert Kluck","Gerhard Schmidt",TSVS,24,21,23,24,26,118,,25
GER,8664,"Franziska Unkelbach","Kathrin Adelkofer",KYC,27,26,18,27,23,121,,26
GER,8527,"Tim Steinert","Jens Steinert",ZSK,20,13,"DNF 30","DNC 30","DNC 30",123,,27
GER,8674,"Christian Niefert","Daniel Schnorrenberg",BSV,26,22,26,28,25,127,,28
GER,8227,"Gorch Stegen","Vinka Stegen",WVM,30,24,28,22,27,131,,29
GER,7878,"Florian von Scotti","Markus von Hummel",ETUF,31,25,29,29,29,143,,30
GER,8412,"Antje Paulsen","Björn Schaar",BSV,28,23,"ATP 30","ATP 30","ATP 30",141,,31
