Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8632,"Christian Kellner","Klaus Stammerjohann",HSC,1,1,1,3,3,1
GER,8519,"Robert Wisolek","Thorsten Koch",SCLW,3,2,2,7,7,2
GER,8580,"Michael Seeger","Andreas Achterberg",DTYC,7,4,3,14,14,3
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,6,3,6,15,15,4
GER,8642,"Thoralf Greger","Tobias Quadfaß",ASVG,5,9,5,19,19,5
GER,8621,"Stephan Schweiger","Johannes Schmederer",SCLW,11,6,4,21,21,6
GER,7801,"Stefan Worm","Christiane Giefers",RYC,4,11,7,22,22,7
GER,8665,"Jens-Peter Schlomka","Mira Grättinger",TSVS,8,7,9,24,24,8
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,2,"DSQ 19",8,29,29,9
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,9,8,13,30,30,10
GER,8654,"Jochen Gosch","Otmar Greger",SVM,10,10,12,32,32,11
GER,8652,"Sebastian Dörr","Christian Dörr",HSC,"DNC 19",5,10,34,34,12
GER,8473,"Oliver Kraft","Andreas Goggel",SSCM,13,15,11,39,39,13
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,12,13,14,39,39,14
GER,8098,"Albrecht Maisch","Frank Letsche",SGK,14,16,16,46,46,15
GER,7442,"Nathalie Friedrich","Claudius Zeiler",SCLW,15,12,"DNC 19",46,46,16
GER,7881,"Christina Friedrich","Tanya Carter",DHH-RG,16,14,17,47,47,17
GER,7275,"Guido von Walter","Christof Devenoges",SCLW,17,17,15,49,49,18
