Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8519,"Robert Wisolek","Ines Berghof",SCLW,4,1,1,6,6,1
GER,8652,"Sebastian Dörr","Falko Braun",HSC,2,2,2,6,6,2
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,1,3,4,8,8,3
GER,8777,"Thoralf Greger","Francisco Sanguino",ASVG,3,4,6,13,13,4
GER,8654,"Jochen Gosch","Guido von Walter",SVM,7,5,3,15,15,5
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,6,7,5,18,18,6
GER,8210,"Nikolaus Jägersberg","Wolfgang Hiltscher",SCLW,8,6,7,21,21,7
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,5,8,10,23,23,8
GER,8375,"Christina Friedrich","Thorsten Koch",DHH-RG,9,9,11,29,29,9
GER,8428,"Helmut Spiske","Robert Martyson",SGR,12,11,9,32,32,10
GER,8075,"Markus Schöning","Florian Rdest",SVM,11,10,13,34,34,11
GER,8098,"Albrecht Maisch","Tanya Carter",SGK,10,12,12,34,34,12
GER,7442,"Nathalie Friedrich","Claudius Zeiler",SCLW,"DNC 14","DNC 14",8,36,36,13
