Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8775,"Wolfgang Hunger","Holger Jess",PYC,1,1,1,2,1,6,,1
GER,8632,"Christian Kellner","Klaus Stammerjohann",HSC,6,9,4,1,5,25,,2
GER,8670,"Martin Görge","Rainer Görge",TSVS,11,5,3,"DNF 62",3,84,,3
GER,8619,"Jens Findel","Eike Dietrich",KYC,25,3,8,4,8,48,,4
GER,8720,"Dirk Filimonow","Lars Stöckmann",BSV,7,4,11,7,6,35,,5
DEN,8620,"Jan Saugmann","Morten Ramsbæk",HiS,3,10,2,10,10,35,,6
GER,8744,"Ulf Pleßmann","Hans-Heinrich Rix",AYC,12,7,5,11,4,39,,7
GER,8665,"Jens-Peter Schlomka","Martin Schöler",TSVS,15,12,9,9,2,47,,8
GER,8622,"Lutz Stengel","Frank Feller",ROYC,5,20,10,12,9,56,,9
GER,8769,"Stefan Böhm","Axel Priegann",SCV,20,14,6,3,14,57,,10
GER,8580,"Michael Daisenberger","Andreas Achterberg",DTYC,13,6,"DNC 62",8,11,100,,11
GER,8550,"Tom Gosch","Jörg Müller",ENSFV,10,15,23,5,15,68,,12
GER,8675,"Volker Görge","Karsten Morf",TSVS,21,11,7,20,12,71,,13
GER,8772,"Ronald Roos","Gerd Linnemann",SVWu,41,8,13,14,16,92,,14
GER,8686,"Nicolai Völckner","Lars Dehne",HSC,48,2,28,6,24,108,,15
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,26,17,15,15,13,86,,16
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,32,27,14,13,19,105,,17
GER,8505,"Adalbert Kluck","Gerhard Schmidt",TSVS,36,22,12,16,27,113,,18
GER,8531,"Michael Troch","Eckart König",SGJ,28,18,20,23,20,109,,19
GER,8527,"Tim Steinert","Jens Steinert",ZSK,14,36,18,"DNF 62",17,147,,20
GER,8777,"Stefan Schollmayer","Friedrich Böhnert",SCMSP,23,30,16,18,28,115,,21
GER,8674,"Christian Niefert","Thomas Weber",BSV,29,16,22,25,25,117,,22
