Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Punkte,Pl.
GBR,8774,Ian Pinnell,Steven Hunt,GWSC,2,1,2,5,1
GER,8742,Stefan Köchlin,Peter Hobusch,SKF,1,2,4,7,2
GBR,8787,Terry Scutcher,Christian Diebitsch,Shotley,3,3,1,7,3
GER,8769,Stefan Böhm,Gerald Roos,SCV,10,4,5,19,4
GER,8665,Jens-Peter Schlomka,Martin Schöler,TSVS,5,9,7,21,5
SUI,8569,Rene Betschen,Patrick Ducommun,CNB,9,5,9,23,6
GER,8376,Volker Niedik,Angela Stenger,BSV,12,8,6,26,7
GBR,8705,Simon Lake,Mark Longastff,P.Cambs,20,11,3,34,8
GER,8632,Christian Kellner,Klaus Stammerjohann,HSC,4,13,18,35,9
GER,8580,Michael Seeger,Andreas Achterberg,DTYC,16,10,10,36,10
SUI,8729,Marti Ueli,Philippe Jacot,CVN,7,18,14,39,11
GER,8772,Ronald Roos,Gerd Linnemann,SVWu,14,7,19,40,12
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,24,6,11,41,13
GER,8721,Martin Seikel,Norbert Becker,PSVK,17,14,12,43,14
GER,8661,Diethardt Freye,Michael Klügel,BSV,15,12,17,44,15
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,23,15,8,46,16
GER,8642,Thoralf Greger,Tobias Quadfaß,ASVG,13,24,13,50,17
GER,8788,Peter Gerdts,Karsten Lahrs,HSC,8,21,24,53,18
GER,8519,Robert Wisolek,Thorsten Koch,SCLW,11,20,25,56,19
GER,8669,Tim Böger,Uwe Lätzsch,HSC,6,DNF 35,15,56,20
GBR,8708,Martin Wedge,Scott Allen,RBYC,18,16,23,57,21
GER,8633,Frieder Achterberg,Wolfgang Stückl,DTYC,30,17,16,63,22
GBR,8745,Chris Pearson,Frank Rainsborough,QMSC,25,19,20,64,23
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,21,22,27,70,24
GER,8711,Carsten Engel,Holger Neuhaus,PSVK,19,31,21,71,25
GER,8473,Oliver Kraft,Andreas Göggel,SSCM,31,25,22,78,26
GBR,8435,Patrick McGale,Paul Molsworth,QMSC,27,27,26,80,27
GER,8210,Nikolaus Jägersberg,Wolfgang Hiltscher,SCLW,28,26,29,83,28
GER,8530,Alexander von Mertens,Pia Wiesbauer,StSC,26,29,30,85,29
GER,8098,Martin Handel,Frank Letsche,SGK,22,DNF 35,28,85,30
GBR,8678,Jim Berry,David Bannel,CVSC,DNF 35,23,DNF 35,93,31
GER,8465,Petra Kliba-Schmidt,Jan-Rolf Schmidt,SKWB,DNF 35,28,31,94,32
GER,8388,Caroline Szesny,Peter Wolffram,FYC,29,30,DNF 35,94,33
SUI,6969,Axel Meyer,Benedict Devaud,CVSNG,32,32,32,96,34
