 Boat No,Helm,Crew,Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Nett,Position
AUS 8804,Chris Nicholson,Darren Nicholson,Jigsaw,11,5,1,(99 DNF),41,1,1,1,2,162,22,1
USA 8714,Howard Hamlin,Mike Martin,Black Boat,5,3,8,(99 DSQ),1,2,3,8,3,132,25,2
SWE 8655,Krister Bergström,Thomas Moss,Mind Com,4,4,7,4,4,5,7,5,4,44,30,3
USA 8762,Danny Thompson,Andrew Zinn,Nice Wood,2,7,4,22,2,3,13,10,8,71,36,4
GBR 8743,Ian Barker,Daniel Cripps,Bodge It and Scarper,7,1,2,(99 DSQ),7,19,5,9,10,159,41,5
USA 7771,Andy Beeckman,Ben Benjamin,Gummi de Milo,8,14,3,1,16,7,28,13,7,97,53,6
USA 8627,Tim Collins,Drew Buttner,The Pump,10,13,19,2,37,30,9,6,1,127,60,7
GBR 8773,Simon Payne,Bill Masterman,GUS First Blood Part 2,(99 DSQ),2,20,3,9,6,14,12,(99 DNF),264,66,8
AUS 8796,Malcolm Higgins,Andrew Chisholm,Fangin Hoons,18,9,6,13,20,8,6,15,29,124,75,9
GBR 8774,Ian Pinnell,Steve Hunt,Boys on Tour,9,11,15,10,15,15,17,4,12,108,76,10
AUS 8784,Hugh Stodart,Peter Holden,Express Post,12,8,5,(99 DSQ),10,9,19,14,18,194,76,11
AUS 8809,Leslie Nathanson,Richard Machin,Scalpel,14,6,11,5,11,26,24,18,19,134,84,12
AUS 8795,Alexander Higgins,Paul Marsh,Sleek,6,10,22,16,40,14,15,2,25,150,85,13
GER 8775,Tom Swift,Holger Jess,,20,17,18,15,3,34,(99 DSQ),11,6,223,90,14
USA 8554,Doug Hagan,Stuart Park,Panic,41,50,21,9,17,13,10,21,9,191,100,15
USA 8722,Macy Nelson,Jesse Falsone,Team CSC,22,16,23,24,13,12,11,24,5,150,102,16
GBR 8787,Terry Scutcher,Christian Diebitsch,GBR 8787,3,29,28,23,14,17,12,28,11,165,108,17
AUS 8280,Michael Quirk,Geoff Lange,Voyager,15,37,30,11,23,25,2,3,(99 DSQ),245,109,18
AUS 8782,Andrew Hewson,Frank Karlovecz,Ronstan,27,24,38,26,18,4,4,19,36,196,122,19
