Nation,Sail NO,Helm,Crew,Club,,Points,Place
FRA,,Laurent Haÿ,Pierre Jean Gallo,,,22,1
FRA,,Philippe Boite,Fabrice Toupet,,,30,2
FRA,,David Ravet,Bertrand Loyal,,,34,3
GBR,,Inn Pinnell,Steve Hunt,,,61,4
GBR,,Dave Peacock,John Wonmonger,,,61,5
GBR,,Charles Walters,Dougal Cram,,,79,6
FRA,,Francis Doerenbecher,Aubin Doerenbecher,,,80,7
FRA,,Serge Gubri,Thibault Di Pède,,,83,8
FRA,,Benoît Valleteau de Moulliac,Ivan Doeren­becher,,,85,9
FRA,,Williams Andy,Edmond Andy,,,94,10
FRA,,Patrick Perrault,Thomas Perrault,,,101,11
FRA,,Bertrand Commeil,Thierry Buand,,,116,12
FRA,,Pierre Soulier,François Cornu,,,117,13
FRA,,Lu­dovic Roblin,Jérémie Brau,,,124,14
FRA,,Chris­tian Silvestre,Régis Viateur,,,129,10
FRA,,Philippe Blanchard,Carole Blanchard,,,150,16
FRA,,Erik Nigon,Marc Jouany,,,170,17
FRA,,Pierre Guibbal,Jean-Louis Guibbal,,,177,18
FRA,,Frédéric Véroul,Laurent Camusson,,,178,19
FRA,,Marcel Buffet,Antoine Victor,,,189,20
FRA,,Aubin Pascal,Jean Marc Trihan,,,189,21
FRA,,Etienne Boyer,Emmanuel Boyer,,,190,22
FRA,,Jean-Philippe Chartier,Xavier Brotschi,,,192,23
FRA,,Philippe Lucienne,Vivien Lucienne,,,195,24
FRA,,Philippe Noclain,Jean-Pierre Noclain,,,197,25
FRA,,Gérard Tilly,Xavier Tilly,,,220,26
FRA,,Loic Bleuez,Michel Bonnet,,,242,27
FRA,,François de Lisle,Hervé Brillaud,,,250,28
GBR,8678,Jim Berry,David Balhes,,,251,29
FRA,,Philippe Poupon,Morgane Ursault Poupon,,,253,30
FRA,,Phi­lippe Goubault,Philippe Duquesne,,,256,31
FRA,,Xavier Lacombe,Guillaume Martineau,,,266,32
FRA,8761,Marc Riot,Geoffroy Riot,,,276,33
FRA,,Antoine Lortat Jacob,Bertrand Alain,,,280,34
FRA,,Christian Mautin,Didier Baron,,,297,35
FRA,8704,Christian Martenot,Marie Lafortune,,,304,36
FRA,,François Gautier,Cyril Thibaud,,,321,37
FRA,,Jaques Ra­guet,Eric Poiré,,,325,38
FRA,,Daniel Nouraud,Hugo Hélène,,,332,39
FRA,,Jean Marc Noclain,Lionel Lesoil,,,333,40
FRA,,Jean Pierre Di Pède,Claude Lafortune,,,337,41
FRA,,Charles Frigaux,Yoann Hertel,,,345,42
FRA,,Michel Boiry,Jean Claude Ancelot,,,350,43
FRA,,Nicolas des Jamonières,Laurent Baril,,,350,44
FRA,,Damien Trouillet,Guillaume Daviaud,,,352,45
FRA,,Lau­rent Bernadac,Eric Vassor,,,371,46
FRA,,Robert Lehmann,Bernard Edel,,,385,47
FRA,,Antoine Lafortune,Julien Lafortune,,,395,48
FRA,,Pierre Jérôme Coulmin,Vincent Peter,,,416,49
FRA,,Jean Baptiste Dupont,Martin Kacarski,,,429,50
