Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,8619,Jens Findel,Johannes Tellen,KYC,1,1,1,3,3,1
GER,8692,Lars Dehne,Nicolai Völckner,,2,2,5,9,9,2
GER,8527,Tim Steinert,Jens Steinert,ZSK,3,5,3,11,11,3
GER,8663,Nørbert Dasenbrook,Sven Meier,KSW,7,3,2,12,12,4
GER,8608,Bernd Rasenack,Gunther Wellmann,ZSK,5,4,4,13,13,5
GER,8528,Andre Tirre,Frank Wille,YCS,6,7,6,19,19,6
GER,8162,Heiko Bühring,Jan Budden,SCZ,11,6,DNC 11,28,28,7
GER,8567,Michael Rössler,Wolfgang Neuhaus,SKMD,4,DNC 11,DNC 11,26,26,8
GER,874*,Jörg Thumann,Oliver Stieglitz,TuSJ,8,DNC 11,DNC 11,30,30,9
GER,7539,Wolfgang Thieschäfer,Elke Thieschäfer,YCZ,10,DNC 11,DNC 11,32,32,11
