Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
USA,8714,"Howard Hamlin","Peter Alarie",NHYC,1,1,2,1,16,3,24,,1
USA,8762,"Daniel Thompson","Andrew Zinn",NHYC,4,5,1,5,7,4,26,,2
DEN,8620,"Jan Saugmann","Morten Ramsbæk",HiS,"DSQ 66",2,3,6,6,8,91,,3
GER,8622,"Lutz Stengel","Frank Feller",ROYC,3,13,5,4,4,9,38,,4
GBR,8787,"Terry Scutcher","Christian Diebitsch",Shotley,6,10,7,7,8,6,44,,5
DEN,8440,"Per Larsen","Martin Frederichsen",Farum,7,6,8,9,9,"DNC 66",105,,6
SWE,8812,"Krister Bergström","Johan Barne",GKSS,"DSQ 66",8,13,3,15,2,107,,7
GBR,8774,"Ian Pinnell","Steven Hunt",GWSC,16,3,4,13,11,14,61,,8
USA,8776,"Alexander Meller","Jesse Falsone",SEVER,5,12,21,8,27,13,86,,9
SWE,8806,"Ebbe Rosen","Olle Wenrup","Mai Arhojd",2,7,32,"DNC 66",12,10,129,,10
DEN,8807,"Tom Bøjland","Jakob Karbo",Farum,15,4,11,22,18,25,95,,11
USA,8722,"Macy Nelson","Nick Nelson",WRSC,20,22,6,12,19,"DNC 66",145,,12
AUS,7982,"Nigel Lott","Robert Franks",RQYS,18,11,14,21,36,16,116,,13
USA,8824,"Andy Beeckman","Ben Benjamin",NHYC,11,15,20,32,14,"DNC 66",158,,14
AUS,8696,"Carter Jackson","Peter Holden",MHYC,22,17,19,31,30,7,126,,15
SUI,8729,"Florian Stauffer","Philippe Jacot",CVN,19,24,33,16,26,21,139,,16
FIN,8056,"Raimo Raita","Antti Raita",V-71,8,30,17,19,34,"DNC 66",174,,17
AUS,8280,"Michael Quirk","Angela Stenger",MHYC,9,25,41,17,37,27,156,,18
SWE,8232,"Lars Stugemo","Bo Ringdahl",MKS,17,23,15,37,23,37,152,,19
GER,8619,"Jens Findel","Johannes Tellen",KYC,"DNC 66","DNC 66",9,10,10,5,166,,20
