Sail No.,Helm,Crew,Category,1,2,3,4,5,6,7,8,Brutto Points,Discard,Points,Info,#
GER 8851,Wolfgan Hunger,Holger Jess,Male,2,2,6,5,1,4,1,DNF,78,63,15,,1
DEN 8620,Jan Saugmann,Morten Ramsbak,Male,6,1,10,8,4,6,2,4,41,18,23,,2
DEN 8827,Dario Kliba,Christian Stormark,Male,14,13,9,4,5,1,6,1,53,27,26,,3
SWE 8812,Krister Bergstrom,Thomas Moss,Male,5,10,1,1,6,8,14,8,53,24,29,Penalty 5 pts,4
GBR 8743,Ian Pinnell,Steve Hunt,Male,11,5,17,7,16,3,3,5,67,33,34,,5
GER 8850,Stefan Kochlin,Axel Priegann,Male,7,DSQ,4,18,3,9,11,2,111,75,36,,6
DEN 8849,Per Larsen,Henrik Andersen,Male,24,8,5,23,12,2,4,6,84,47,37,,7
GER 8750,Michael Roessler,Holger Neuhaus,Male,13,15,3,6,13,10,5,8,73,28,45,,8
GER 8672,Christian Kellner,Klaus Stammerjohann,Male,8,7,2,3,24,13,24,16,97,48,49,,9
DEN 8656,Bo Petersen,Henik Buhl,Male,23,9,24,2,2,5,12,24,101,48,53,,10
GER 8744,Hans-Heinrich Rix,Steffen Achenbach,Male,3,25,21,11,8,12,16,11,107,46,61,,11
SUI 8729,Floriant Stauffer,Philippe Jacot,Male,15,6,7,17,10,18,22,7,102,40,62,,12
GER 8466,Volker Niediek,Stefan Heising,Male,10,11,27,14,9,15,10,13,109,42,67,,13
GER 8663,Norbert Dasenbrook,Sven Meier,Male,25,20,18,9,15,7,7,19,120,45,75,,14
GER 8775,Tom Swift,Martin Scholer,Male,18,4,13,10,22,16,23,14,120,45,75,,15
GER 8580,Markus Muhlbauer,Andreas Achterberg,Male,34,18,25,12,7,25,9,10,140,59,81,,16
GER 8665,Jans-Peter Schlomka,Urs Wihlfahrt,Male,1,28,16,29,19,23,8,20,144,57,87,,17
GER 8619,Jens Findel,Johannes Tellen,Under25,28,19,8,26,20,11,15,17,144,54,90,,18
GER 8664,Franziska Unkelbach,Caroline von Dahl,Female,12,12,12,21,17,21,25,21,141,46,95,,19
SWE 8806,Ebbe Rosén,Olle Wenrup,Male,9,3,20,30,14,30,28,DNF,191,87,104,,20
GER 8642,Thoralf Greger,Anna Holl,Mix,26,22,11,28,35,24,13,9,168,53,105,,21
GBR 8474,Charlie Walers,Dougal Cram,Male,19,16,32,20,18,19,29,18,171,61,110,,22
GER 8127,Kristine Foerster,Thilo Koenig,Mix,17,14,19,33,11,28,32,22,176,65,111,,23
GER 8550,Helen Fischer,Robert Rothe,Mix,36,29,26,13,21,33,20,12,190,69,121,,24
GER 8519,Robert Wisolek,Guido von Walter,Male,38,17,15,22,26,32,17,29,196,70,126,,25
DEN 8581,Jon Andersen,Lasse B. Andreasen,Male,20,27,38,15,38,14,34,28,214,76,138,,26
FRA 8802,Pierre-Jean Gallo,Regis Viateur,Male,37,30,14,27,28,20,27,25,205,67,138,,27
GER 8788,Karsten Lahrs,Peter Gerdts,Male,4,24,30,38,23,34,36,33,222,74,148,,28
GER 8609,Alexander Holzapfel,Tobias Neumeyer,Male,27,36,29,19,31,29,19,30,220,67,153,,29
GER 8777,Stefan Schollmayer,Frisco Sanguino,Male,29,31,36,16,30,26,35,23,226,71,155,,30
GER 8531,Michael Troch,Eckart Konig,Male,21,32,28,39,44,27,33,15,239,83,156,,31
GER 8675,Volker Gorge,Karsten Morf,Male,22,23,40,37,29,22,26,34,233,77,156,,32
GER 8843,Nicolai Völckner,Lars Derschotte Dehne,Male,30,21,23,39,27,35,21,57,253,96,157,Penalty 5 pts,33
GBR 8694,Andy Williams,Andy Edmonds,Male,16,26,DNF,32,33,39,37,26,266,96,170,,34
GER 8749,Stephan Krause,Michael Krause,Under25,DNF,39,43,40,32,17,18,27,273,100,173,,35
