Country,Sail No,Helm,Crew,Yacht Name,3 1/3,4 1/3,5 3/7,6 1/2,7 1/2,8 4/7,9    ,10    ,12    ,Total Points,Pl
AUS,8644,Phil Gray,Richard Machin,Scatt,4,1,5,4,1,9,[22],6,[32],"52,7",1
AUS,8782,Andrew Hewson,,Go Hard or Go Home,6,3,[18],5,3,9,[19],2,4,"53,1",2
AUS,8840,Michael Quirk,,The Full Monty,3,4,4,[18],2,3,[13],7,5,"53,4",3
AUS,8498,Michael Babbage,,Michael Babbage,[20],2,[32],7,5,6,"10,85",3,3,"59,95",4
AUS,8853,Carter Jackson,,Farm,9,5,3,3,[20],7,1,[23],9,"64,4",5
AUS,8557,Mick O'Donnell,,Neil Long,1,8,9,[22],8,11,[18],5,1,64,6
AUS,8524,Richard Gallimore,,5 oh Magic,10,[17],6,6,[32],9,"10,85",1,11,"76,25",7
AUS,8738,Yancy Smith,,Off Tap,2,13,14,8,4,[21],2,11,[24],78,8
AUS,8817,Nigel Lott,,Cut Snake,8,12,[22],2,12,2,4,14,[23],78,9
AUS,8781,Earle Alexander,,Audit Service,11,[20],10,9,7,8,3,4,"[21,5]","88,7",10
AUS,8794,Brett van Munster,,Voyager,5,7,[23],11,9,1,[24],15,8,90,11
AUS,8602,Damien Carey,,Makybe,[18],9,7,1,10,[24],8,10,10,90,12
AUS,8092,Chris Went,,Schiavello,[32],[32],1,10,26,10,9,13,7,111,13
AUS,8765,Bill Edwards,,I Can Read,[32],[32],11,13,11,13,10,8,6,"113,7",14
AUS,8638,Chris Somers,,Oceana Yacht Broker,7,10,15,[23],6,16,[23],9,13,"117,7",15
AUS,8759,Scott Ovenden,,The Missos,16,6,13,15,[32],[23],15,12,12,"130,7",16
AUS,8399,Bill Cuneo,,Space Frame Buildings,15,16,18,19,[32],14,22,[32],2,143,17
AUS,8185,Terry Scutcher,,T Scutcher,13,[32],8,14,13,12,[32],26,19,147,18
AUS,8606,Adrian Cooper,,Bacon & Eggs,[32],[32],19,20,19,21,11,20,"21,5","167,5",19
AUS,638,Claus Ejlertsen,,Rage,[32],[32],2,26,16,24,23,26,14,168,20
AUS,8503,Tim Sampson,,In the Job,17,15,20,21,17,[32],20,16,[32],168,21
AUS,8682,Richard Hyde,,Go to Red,19,17,[30],[29],18,20,19,18,22,175,22
AUS,7904,Sam Cronin,,Savage Live Worms,18,18,"[28,5]",[28],20,22,21,19,20,180,23
AUS,8803,Ian Bryden,,Don't Ask,[32],[32],21,18,15,19,14,26,26,181,24
AUS,8292,Mark Scrymgour,,Zoom,20,19,"28,5",[32],[32],23,24,21,21,"192,5",25
