Nation,,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,points,place
FRA,,Ravet David,Loyal Bertrand,S R ROCHELAISES,1,2,1,1,1,1,1,DNC,8,1
FRA,,Gubri Serge,Di Pede Thibault,JEUNESSE ET MARINE,4,1,2,2,3,3,5,3,18,2
FRA,,Gallo Pierre Jean,Toupet Fabrice,C N E PAIMBOEUF,5,6,4,3,4,2,2,1,21,3
FRA,,Soulier Pierre,Cornu Francois,S R VANNES,DNC,4,3,4,5,5,4,2,27,4
GER,,Schultz Hendrik,,C.N. VIRY CHATILLON,3,5,6,6,9,12,3,7,39,5
FRA,,Biche Olivier,Roblin Ludovic,C N ROCHEFORTAIS,2,8,5,7,10,17,7,10,49,6
FRA,,Vinches Gilbert,Lafortune Geraud,CVSQ,8,12,16,5,2,6,11,6,50,7
FRA,,Noclain Philippe,Noclain Jean Pierre,C V VALENCIENNES,12,9,11,12,7,7,8,4,58,8
FRA,,Veroul Frederic,Huet Sebastien,C N VASSIVIERE,6,11,9,10,14,8,9,5,58,9
FRA,,Nigon Erik,Jouany Marc,S R ROCHELAISES,9,3,10,18,11,10,6,11,60,10
FRA,,Nouraud Daniel,Troger Christophe,S R ROCHELAISES,17,7,14,8,6,11,17,9,72,11
FRA,,Dupont Jean Baptiste,Vallaud Christian,CV PARIS,13,16,8,9,13,4,18,DNC,81,12
FRA,,Perrault Patrick,Dubreuil Michel,C.V.S.A.,14,10,13,11,19,14,10,15,87,13
FRA,,Martineau Guillaume,Trouillet Damien,C N ROCHEFORTAIS,10,14,12,13,20,15,12,13,89,14
FRA,,Fossard Robert,Bonnet Michel,S N BANDOL,11,15,18,16,DNF,9,15,12,96,15
FRA,,Jacob-Antoine Lortat,Melot Olivier,C N FLOTTE EN RE,7,13,17,14,12,13,DNC,DNC,101,16
FRA,,Martenot Christian,Lafortune Marie,C V SEINE-PORT,15,18,15,19,17,21,16,16,116,17
FRA,,Buffet Marcel,Legeai Jerome,CV PARIS,DNC,DNC,7,15,8,16,DNC,DNC,121,18
FRA,,Boiry Michel,Ancelot Jean Claude,CV PARIS,19,20,21,20,23,19,14,8,121,19
FRA,,François Gautier,Thibaud Cyril,S R ROCHELAISES,18,17,20,17,18,20,20,14,124,20
FRA,,Xavier Lacombe,Troger Philippe,S R ROCHELAISES,22,21,19,21,15,18,13,DNC,129,21
FRA,,Duquesne Philippe,Duquesne Laurent,S N O NANTES,16,19,22,22,16,23,21,18,134,22
FRA,,Daguzan Thierry,Poirier Arnaud,S R ROCHELAISES,21,23,DNC,24,22,DNF,19,17,151,23
FRA,,Vassor Eric,Stephan Jean Patrick,USAM Voile Brest,20,22,23,23,21,22,DNC,DNC,156,24
